,Questions,Answers,MistralAI,AnswersWithRag,,
60,All of the anticoagulant or antiplatelet drugs listed  are correctly matched with their mechanisms of  action EXCEPT: A. Abciximabâ€”Glycoprotein IIb/IIIa receptor   inhibitor B. Clopidogrelâ€”Adenosine diphosphate receptor  blockade C. Enoxaparinâ€”Direct thrombin inhibition D. Rivaroxabanâ€”Factor Xa inhibition E. Warfarinâ€”Inhibition of production of the vitamin  Kâ€“dependent clotting factors,"The answer is C.  (Chap. 23) In recent years, a variety of new anticoagulant  and antiplatelet drugs have been developed for clinical use.   Platelets play an important role in arterial thrombosis,  particularly in coronary artery and cerebrovascular dis- ease. Aspirin is the most widely used antiplatelet drug  worldwide. Aspirin exerts its effects through inhibition of  cyclooxygenase-1. Other commonly used oral antiplatelet  agents are clopidogrel and dipyridamole. Clopidogrel is in  a class of agents called thienopyridines along with ticlopi- dine. Thienopyridines act to block a specific adenosine  diphosphate receptor (P2Y12) and inhibit platelet aggrega- tion. Dipyridamole inhibits phosphodiesterase to decrease  the breakdown of cyclic adenosine monophosphate  (cAMP) to decrease platelet aggregation. Intravenous  antiplatelet agents have also become increasingly impor- tant in the treatment of acute coronary syndromes. All of  the intravenous agents act to inhibit platelet aggregation  by blocking the glycoprotein (Gp) IIb/IIIa receptor. The   Review and Self-Assessment 770 three agents in clinical use as Gp IIb/IIIa inhibitors are  abciximab, eptifibatide, and tirofiban.  Anticoagulant agents are primarily used for the preven- tion and treatment of venous thrombosis. Many antico- agulants are available and act by a variety of mechanisms.  Heparin has been used for many years but requires frequent  monitoring to be used safely. More recently, low-molec- ular-weight heparins (LMWHs) have been introduced.  These agents are given subcutaneously and generally pre- ferred in many instances over heparin given a more predict- able anticoagulant effect. Both heparin and the LMWHs  are indirect thrombin inhibitors that act primarily through  activation of antithrombin. When activated, antithrombin  inhibits clotting enzymes, especially thrombin and factor  Xa. Fondaparinux is a newer anticoagulant that inhibits  only factor Xa, although it is a synthetic analogue of the  pentasaccharide sequence in heparin that binds antithrom- bin. However, it is too short to bridge antithrombin to  thrombin. The direct thrombin inhibitors bind directly to  thrombin (rather than antithrombin) to exert their activ- ity. The direct thrombin inhibitors include lepirudin, arg- atroban, and bivalirudin. The most commonly used oral  anticoagulant is warfarin, which inhibits the production  of vitamin Kâ€“dependent clotting factors. Given the need  for frequent monitoring and extensive drug interactions,  developing other oral anticoagulants that are safe and effec- tive has been desired for many years. No oral drug has yet  been introduced into the market. However, several are in  the final stages of development. These include two factor  Xa inhibitors (rivaroxaban and apixaban) and one factor IIa  inhibitor (dabigatran etexilate).","

Answer: A. Abciximab—Glycoprotein IIb/IIIa receptor inhibitor

Explanation: Abciximab is an integrin receptor antagonist, specifically targeting the glycoprotein IIb/IIIa receptor on the surface of platelets, thereby inhibiting platelet aggregation. It does not inhibit the production of clotting factors or act as a direct thrombin inhibitor.","
E. Warfarinâ€”Inhibition of production of the vitamin  Kâ€“dependent clotting factors

Explanation:
Warfarin is an oral anticoagulant that inhibits the activity of the vitamin K-dependent clotting factors (II, VII, IX, and X) by interfering with their synthesis. Therefore, option E is incorrect, as it states that warfarin inhibits the production of the vitamin K-dependent clotting factors instead of their activity.",0,0
61,"A 66-year-old woman is prescribed clopidogrel  and aspirin after implantation of a bare metal stent  in her right coronary artery. Two weeks after the  procedure, the woman presents to the emergency  department with acute-onset chest pain and elec- trocardiographic changes consistent with an acute  inferior myocardial infarction. Emergent cardiac  catheterization confirms in-stent restenosis. The  patient insists she has been adherent to her pre- scribed therapy. Which of the following state- ments most correctly described the most likely  cause of the patientâ€™s restenosis despite her current  therapy? A. She likely has aspirin resistance and should be treated  with higher doses of aspirin to prevent a recurrence. B. She likely has clopidogrel resistance caused by a  genetic polymorphism of the CYP pathway. C. She should have been treated with low-molecular- weight heparin to prevent this complication. D. She should have been treated with warfarin to pre- vent this complication. E. Because she has demonstrated resistance to clopido- grel, switching to prasugrel would not be useful to  prevent further complications.","The answer is B.  (Chap. 23) After implantation of a bare metal coronary  artery stent, aspirin and clopidogrel are recommended  for at least 4 weeks to decrease the risk of in-stent reste- nosis. This patient, however, developed the complica- tion despite adherence to her therapy. This generally  suggests resistance to clopidogrel with a decreased ability  of clopidogrel to inhibit platelet aggregation. There is  a known genetic component to clopidogrel resistance  related to specific genetic polymorphisms of the CYP  isoenzymes. Up to 25% of whites, 30% of African Amer- icans, and 50% of Asians may carry an allele that renders  them resistant to clopidogrel. These polymorphisms are  less important in the activation of prasugrel. Thus, in  individuals who have evidence of clopidogrel resistance,  switching to prasugrel should be considered.  Aspirin resistance is a more controversial subject. It  is defined simply in clinical terms as failure of aspirin to  prevent ischemic vascular events. Biochemically, aspirin  resistance can be defined by failure of usual doses of the  drug to produce inhibitory effects on platelet function.  However, resistance to aspirin is not reversed by higher  doses of aspirin or adding another antiplatelet agent.  Because the primary mechanism of arterial thrombosis  is platelet aggregation, the anticoagulant agents warfarin  and low-molecular-weight heparin are not indicated.","

Answer: B. She likely has clopidogrel resistance caused by a genetic polymorphism of the CYP pathway.","
B. She likely has clopidogrel resistance caused by a genetic polymorphism of the CYP pathway.

Explanation:
The patient's presentation of acute-on-set chest pain and electrocardiographic changes consistent with an acute inferior myocardial infarction despite being on dual antiplatelet therapy (clopidogrel and aspirin) suggests a complication, such as in-stent restenosis. The most likely cause of this complication in this scenario is clopidogrel resistance, which is a genetic polymorphism of the CYP pathway that affects the metabolism of clopidogrel and reduces its efficacy. This is the most likely explanation for the patient's restenosis despite her current therapy.

Therefore, the correct answer is B. She likely has clopidogrel resistance caused by a genetic polymorphism of the CYP pathway.

The other options are incorrect:
A. Aspirin resistance is a condition where the body does not respond properly to aspirin, leading to increased platelet aggregation. It is not the most likely cause of the patient's",1,1
62,"A 48-year-old woman is diagnosed with a deep- vein thrombosis of her left lower extremity. When  considering initial anticoagulant therapy, all of the  following are advantages of low-molecular-weight  heparins over heparin EXCEPT: A. Better bioavailability B. Dose-dependent clearance C. Longer half-life after subcutaneous injection D. Lower risk of heparin-induced thrombocytopenia E. Predictable anticoagulant effect","The answer is B.  (Chap. 23) Low-molecular-weight heparins (LMWHs)  have largely replaced heparin for most indications if a  patient does not have any contraindications to therapy.  LMWHs have better bioavailability and longer half-lives  after subcutaneous injection. Thus, they can be given at  routine intervals for both prophylaxis and treatment. In  addition, dosing of LMWHs is simplified because these  drugs have a dose-independent clearance, and predict- able anticoagulant effects means that monitoring of anti- coagulant effect is not required in most patients. Finally,  LMWHs have a lower risk of heparin-induced throm- bocytopenia, which is important in both short- and  long-term administration.","

Answer: C. Longer half-life after subcutaneous injection

Explanation: Low-molecular-weight heparins (LMWHs) have several advantages over unfractionated heparin (UFH) in the treatment of deep vein thrombosis (DVT). These advantages include better bioavailability after subcutaneous injection, dose-dependent clearance, longer half-life, and a lower risk of heparin-induced thrombocytopenia (HIT). However, LMWHs do not have a longer half-life after subcutaneous injection compared to UFH. In fact, LMWHs have a shorter half-life than UFH, but their predictable anticoagulant effect makes them easier to dose and monitor. UFH, on the other hand, requires frequent monitoring due to its variable anticoagulant effect and shorter half-life.","
C. Longer half-life after subcutaneous injection

Explanation: Low-molecular-weight heparins (LMWHs) have a longer half-life after subcutaneous injection compared to unfractionated heparin (UFH), making them more convenient for once or twice daily dosing. This is an advantage over heparin. Therefore, option C is incorrect.",0,0
63,In which of the following patients presenting with  acute dyspnea would a positive d-dimer prompt  additional testing for a pulmonary embolus?  Review and Self-Assessment 738 A. A 24-year-old woman who is 32 weeks pregnant B. A 48-year-old man with no medical history who  presents with calf pain following prolonged air travel;  the alveolarâ€“arterial oxygen gradient is normal C. A 56-year-old woman undergoing chemotherapy for  breast cancer D. A 62-year-old man who underwent hip replacement  surgery 4 weeks previously E. A 72-year-old man who had an acute myocardial  infarction 2 weeks ago,"The answer is B.  (Chap. 22) The d-dimer measured by enzyme-linked  immunosorbent assay (ELISA) is elevated in the setting  of breakdown of fibrin by plasmin, and the presence of  a positive d-dimer can prompt the need for additional  imaging for deep-vein thrombosis and/or pulmonary  embolus in specific clinical situations in which the patient  would be considered to have an elevation in d-dimer.  However, one must be cautious about placing value on  an elevated d-dimer in other situations when there can  be an alternative explanation for the elevated level. Of  the scenarios listed in the question, the only patient who  would be expected to have a negative d-dimer result  would be the patient with calf pain and recent air travel.  The presence of a normal alveolarâ€“arterial oxygen gradi- ent cannot reliably differentiate between those with and  without pulmonary embolism. In all the other scenarios,  elevations in d-dimer could be related to other medi- cal conditions and provide no diagnostic information  to inform the clinician regarding the need for further  evaluation. Some common clinical situations in which  the d-dimer is elevated include sepsis, myocardial infarc- tion, cancer, pneumonia, the postoperative state, and the  second and third trimesters of pregnancy.","

Answer: B, C, and D.

Explanation:

A positive d-dimer result in isolation is not sufficient to diagnose a pulmonary embolus (PE), but it can be a useful marker to suggest the possibility of PE, particularly in patients with clinical suspicion. However, the pretest probability of PE is crucial in determining the utility of d-dimer testing.

In the given scenario, the following patients have a higher pretest probability of PE and would benefit from further evaluation if they have a positive d-dimer result:

1. A 48-year-old man with calf pain following prolonged air travel: This patient has a known risk factor for PE (prolonged immobility during travel) and presents with a symptom (calf pain) that may be related to PE.
2. A 56-year-old woman undergoing chemotherapy for breast cancer: Cancer and its treatment, such as chemotherapy, are well-known risk factors for PE.
3. A 62-year-old man who underwent hip replacement surgery 4 weeks previously: This patient is at increased risk for PE due to the","
B. A 48-year-old man with no medical history who presents with calf pain following prolonged air travel; the alveolar–arterial oxygen gradient is normal.

Explanation:
A positive d-dimer level is a common finding in pregnancy due to the hypercoagulable state. Therefore, a positive d-dimer in a pregnant woman (A) would not necessarily indicate a pulmonary embolus and additional testing would be required to confirm the diagnosis.

The man in option B has no medical history but presents with calf pain following prolonged air travel and a normal alveolar–arterial oxygen gradient. This constellation of symptoms and findings is concerning for deep vein thrombosis (DVT) and pulmonary embolus (PE). A positive d-dimer in this case would prompt further testing for DVT and PE.

The other patients in the options do not have symptoms or findings suggestive of PE, and their medical histories do not increase their risk for PE. Therefore, a positive d-dimer in these cases would not necessarily indicate PE and additional testing would not be required.

Therefore, the answer is",1,1
64,A 62-year-old woman is hospitalized following  an acute pulmonary embolism. All of the follow- ing would typically indicate a massive pulmonary  embolism EXCEPT: A. Elevated serum troponin levels B. Initial presentation with hemoptysis C. Initial presentation with syncope D. Presence of right ventricular enlargement on CT  scan of the chest E. Presence of right ventricular hypokinesis on   echocardiogram,"The answer is B.  (Chap. 22) Clinically, individuals with massive pulmonary  embolus present with hypotension, syncope, or cyanosis.  The hypotension and syncope occur due to acute right ven- tricular overload, and elevated troponin or amino terminal   (NT)-pro-brain natriuretic peptide can result from this  right ventricular strain. Both elevated troponin and NT- pro-brain natriuretic peptide predict worse outcomes in  pulmonary embolism. Further prognostic signs of massive  pulmonary embolism include the presence of right ventric- ular enlargement on computed tomography of the chest  or right ventricular hypokinesis on echocardiography.   The presence of hemoptysis, pleuritic chest pain, or   Review and Self-Assessment 771 cough in association with pulmonary embolism most  commonly indicates a small peripheral lesion.","

Answer: B. Initial presentation with hemoptysis.

Explanation: Hemoptysis is a common symptom of pulmonary embolism, and its presence does not exclude the diagnosis. However, massive pulmonary embolism is typically characterized by acute shortness of breath, chest pain, tachycardia, hypotension, and signs of right heart failure, such as jugular vein distention, peripheral edema, and hepatomegaly. Elevated serum troponin levels, right ventricular enlargement on CT scan, right ventricular hypokinesis on echocardiogram, and syncope are all consistent with a massive pulmonary embolism.","C. Initial presentation with syncope.

Explanation: Syncope is a common symptom in patients with acute pulmonary embolism, and its presence does not necessarily indicate a massive pulmonary embolism. However, the other symptoms listed, such as elevated serum troponin levels, hemoptysis, right ventricular enlargement on CT scan, and right ventricular hypokinesis on echocardiogram, are more indicative of a massive pulmonary embolism.",1,0
65,"Which of the following statements regarding diag- nostic imaging in pulmonary embolism is TRUE? A. A high probability ventilationâ€“perfusion scan is one  that has at least one segmental perfusion defect in the  setting of normal ventilation. B. If a patient has a high probability ventilationâ€“  perfusion scan, there is a 90% likelihood that the  patient does indeed have a pulmonary embolism. C. Magnetic resonance angiography provides excel- lent resolution for both large proximal and smaller  segmental pulmonary emboli. D. Multidetector-row spiral CT imaging is suboptimal  for detecting small peripheral emboli, necessitating  the use of invasive pulmonary angiography. E. None of the routinely used imaging techniques  provide adequate evaluation of the right ventricle to  assist in risk stratification of the patient.","The answer is B.  (Chap. 22) For many years, ventilationâ€“perfusion imag- ing (V-Q) was the standard for the diagnosis of pulmo- nary embolism (pulmonary embolism). Determination of  abnormal V-Q imaging can be difficult. To call a V-Q  scan a high-probability scan, one needs to see two or more  segmental perfusion defects in the setting of normal venti- lation. In patients with underlying lung disease, however,  ventilation is frequently abnormal, and most patients with  pulmonary embolism do not actually have high-probabil- ity V-Q scans. When there is a high-probability V-Q scan,  the likelihood of pulmonary embolism is 90% or greater.  Alternatively, patients with normal perfusion imaging  have a very low likelihood of pulmonary embolism. Most  patients fall into either the low or intermediate probabil- ity of having a pulmonary embolism by V-Q imaging.  In this setting, 40% of patients with a high clinical suspi- cion of pulmonary embolism are determined by pulmo- nary angiography to indeed have a pulmonary embolism  despite having a low-probability V-Q scan. At the present  time, V-Q scanning is largely supplanted by multidetec- tor-row spiral computed tomography (CT) angiography  of the chest. Compared with conventional CT scanning  with intravenous contrast, the multidetector spiral CT can  provide evaluation of the pulmonary arteries to the sixth- order branches, a level of resolution that is as good as or  exceeds that of conventional invasive pulmonary angiog- raphy. In addition, the CT allows evaluation of the right  and left ventricles as well as the lung parenchyma to pro- vide additional information regarding prognosis in acute  pulmonary embolism or alternative diagnosis in the patient  with dyspnea. Magnetic resonance angiography is a rarely  used alternative to the above modalities in patients with  contrast dye allergy. This technique provides the ability to  detect large proximal PEs but lacks reliability for segmental  and subsegmental pulmonary embolism.","

Answer: D. Multidetector-row spiral CT imaging is suboptimal for detecting small peripheral emboli, necessitating the use of invasive pulmonary angiography.","D. Multidetector-row spiral CT imaging is suboptimal for detecting small peripheral emboli, necessitating the use of invasive pulmonary angiography.",0,0
66,"A 53-year-old woman presents to the hospital fol- lowing an episode of syncope, with ongoing light- headedness and shortness of breath. She had a history  of antiphospholipid syndrome with prior pulmo- nary embolism and has been nonadherent to her  anticoagulation medication recently. She has been  prescribed warfarin, 7.5 mg daily, but reports taking  it only intermittently. She does not know her most  recent INR. On presentation to the emergency  department, she appears diaphoretic and tachy- pneic. Her vital signs are as follows: blood pres- sure of 86/44 mm Hg, heart rate of 130 beats/min,     respiratory rate of 30 breaths/min, and oxygen satu- ration of 85% on room air. Cardiovascular examina- tion shows a regular tachycardia without murmurs,  rubs, or gallops. The lungs are clear to auscultation.  On extremity examination, there is swelling of her  left thigh with a positive Homanâ€™s sign. Chest CT  angiography confirms a saddle pulmonary embolus  with ongoing clot seen in the pelvic veins on the  left. Anticoagulation with unfractionated heparin is  administered. After a fluid bolus of 1 L, the patientâ€™s  blood pressure remains low at 88/50 mm Hg.  Echocardiogram demonstrates hypokinesis of the  right ventricle. On 100% non-rebreather mask, the  oxygen saturation is 92%. What is the next best step  in the management of this patient? A. Continue current management. B. Continue IV fluids at 500 mL/h for a total of 4 L of  fluid resuscitation. C. Refer for inferior vena cava filter placement and  continue current management. D. Refer for surgical embolectomy. E. Treat with dopamine and recombinant tissue plas- minogen activator, 100 mg IV.","The answer is E. (Chap. 22) This patient is presenting with massive pul- monary embolus (pulmonary embolism) with ongoing  hypotension, right ventricular dysfunction, and profound  hypoxemia requiring 100% oxygen. In this setting, con- tinuing with anticoagulation alone is inadequate, and  the patient should receive circulatory support with fibri- nolysis if there are no contraindications to therapy. The  major contraindications to fibrinolysis include hyperten- sion >180/110 mm Hg, known intracranial disease or  prior hemorrhagic stroke, recent surgery, or trauma. The  recommended fibrinolytic regimen is recombinant tissue   plasminogen activator (rTPA), 100 mg IV over 2 hours.  Heparin should be continued with the fibrinolytic to pre- vent a rebound hypercoagulable state with dissolution of the  clot. There is a 10% risk of major bleeding with fibrinolytic  therapy, with a 1â€“3% risk of intracranial hemorrhage.   The only indication approved by the U.S. Food and Drug  Administration for fibrinolysis in pulmonary embolism  is for massive pulmonary embolism presenting with life- threatening hypotension, right ventricular dysfunction, and  refractory hypoxemia. In submassive pulmonary embolism  presenting with preserved blood pressure and evidence of  right ventricular dysfunction on echocardiogram, the deci- sion to pursue fibrinolysis is made on a case-by-case basis.  In addition to fibrinolysis, the patient should also receive  circulatory support with vasopressors. Dopamine and  dobutamine are the vasopressors of choice for the treat- ment of shock in pulmonary embolism. Caution should be  taken with ongoing high-volume fluid administration, as  a poorly functioning right ventricle may be poorly toler- ant of additional fluids. Ongoing fluids may worsen right  ventricular ischemia and further dilate the right ventricle,  displacing the interventricular septum to the left to worsen  cardiac output and hypotension. If the patient had contra- indications to fibrinolysis and was unable to be stabilized  with vasopressor support, referral for surgical embolec- tomy should be considered. Referral for inferior vena cava  filter placement is not indicated at this time. The patient  should be stabilized hemodynamically as a first priority.  The indications for inferior vena cava filter placement are  active bleeding, precluding anticoagulation, and recurrent  deep-vein thrombosis on adequate anticoagulation.","

Answer: C. Refer for inferior vena cava filter placement and continue current management.

Explanation:

The patient's presentation of syncope, shortness of breath, and tachycardia with a positive Homan's sign and a saddle pulmonary embolus on imaging are indicative of a high-risk PE with hemodynamic instability. The patient's low blood pressure and hypoxia despite oxygen supplementation further support this. The echocardiogram showing hypokinesis of the right ventricle is also consistent with right heart strain from the PE.

Given the patient's history of antiphospholipid syndrome and nonadherence to anticoagulation therapy, there is a high risk of recurrent PE. The patient's current management with unfractionated heparin and fluid resuscitation is appropriate for acute PE, but additional measures are needed to prevent further clot propagation and embolization.

Option A, continuing the current management alone, is not sufficient as the patient remains hemodynamically unstable and at high risk for further clotting. Option B, continuing IV fluids at","
C. Refer for inferior vena cava filter placement and continue current management.

Explanation:
The patient is experiencing a saddle pulmonary embolus with ongoing clot in the pelvic veins on the left, which is causing right ventricular hypokinesis and low blood pressure. Given her history of antiphospholipid syndrome and nonadherence to anticoagulation medication, there is a high risk of recurrent thromboembolic events. The current management with unfractionated heparin is appropriate to prevent further clotting, but additional measures are needed to reduce the risk of pulmonary embolism and potential cardiac complications. Inferior vena cava filter placement is a reasonable option to prevent further clot propagation and reduce the risk of pulmonary embolism while the patient's anticoagulation therapy takes effect. Surgical embolectomy is an invasive procedure with risks and should be considered as a last resort when other measures have failed or when the patient's condition is deteriorating rapidly. Dopamine and recombinant tissue plasminogen activator are not indicated in this scenario as they are used",0,0
67,"A 42-year-old woman presents to the emergency  department with acute onset of shortness of breath.  She recently had been to visit her parents out of state  and rode in a car for about 9 hours each way. Two  days ago, she developed mild calf pain and swelling,  but she thought that this was not unusual after having  been sitting with her legs dependent for the recent  trip. On arrival to the emergency department, she is  noted to be tachypneic. The vital signs are as follows:     blood pressure of 98/60 mm Hg, heart rate of 114  beats/min, respiratory rate of 28 breaths/min, oxygen  saturation of 92% on room air, and weight of 89 kg.  The lungs are clear bilaterally. There is pain in the  right calf with dorsiflexion of the foot, and the right  leg is more swollen compared with the left. An arterial  blood gas measurement shows a pH of 7.52, PCO2 25  mm Hg, and PO2 68 mm Hg. Kidney and liver func- tion are normal. A helical CT scan confirms a pulmo- nary embolus. All of the following agents can be used  alone as initial therapy in this patient EXCEPT: A. Enoxaparin 1 mg/kg SC twice daily B. Fondaparinux 7.5 mg SC once daily C. Tinzaparin 175 U/kg SC once daily D. Unfractionated heparin IV adjusted to maintain  activated partial thromboplastin time (aPTT) two to  three times the upper limit of normal E. Warfarin 7.5 mg PO once daily to maintain INR at 2â€“3  Review and Self-Assessment 739","The answer is E. (Chap. 22) Warfarin should not be used alone as ini- tial therapy for the treatment of venous thromboem- bolic disease (VTE) for two reasons. First, warfarin does  not achieve full anticoagulation for at least 5 days, as its  mechanism of action is to decrease the production of  vitamin Kâ€“dependent coagulation factors in the liver.  Second, a paradoxical reaction that promotes coagu- lation may also occur upon initiation of warfarin as it  also decreases the production of the vitamin Kâ€“depen- dent anticoagulants protein C and protein S, which  have shorter half-lives than the procoagulant factors.  For many years, unfractionated heparin delivered intra- venously was the treatment of choice for VTE. How- ever, it requires frequent monitoring of activated partial  thromboplastin time (aPTT) levels and hospitalization  until therapeutic international normalized ratio (INR)  is achieved with warfarin. There are now several safe  and effective alternatives to unfractionated heparin that  can be delivered SC. Low-molecular-weight heparins  (enoxaparin, tinzaparin) are fragments of unfraction- ated heparin with a lower molecular weight. These  compounds have a greater bioavailability, longer half- life, and more predictable onset of action. Their use in  renal insufficiency should be considered with  caution  because low-molecular-weight heparins are renally  cleared. Fondaparinux is a direct factor Xa inhibitor   that, like low-molecular-weight heparins, requires no   Review and Self-Assessment 772 monitoring of anticoagulant effects and has been demon- strated to be safe and effective in treating both deep-vein  thrombosis and pulmonary embolism.","

Answer: E. Warfarin 7.5 mg PO once daily to maintain INR at 2–3.

Explanation: Warfarin is an oral anticoagulant that takes several days to reach therapeutic levels. It is not appropriate for initial therapy in a patient with acute PE due to the delay in achieving therapeutic anticoagulation. Enoxaparin, fondaparinux, and tinzaparin are all low molecular weight heparins that can be used for initial therapy in PE. These agents have a more rapid onset of action and can be administered subcutaneously. Unfractionated heparin can also be used for initial therapy, but it requires continuous intravenous administration and monitoring of aPTT.","E. Warfarin 7.5 mg PO once daily to maintain INR at 2–3

Explanation:
Warfarin is an oral anticoagulant that requires several days to reach therapeutic levels and is not appropriate for initial therapy in a patient with acute pulmonary embolism. The other options listed are all anticoagulants that can be used for initial therapy in this setting. Enoxaparin, fondaparinux, and tinzaparin are all low molecular weight heparins, while unfractionated heparin is a traditional heparin preparation. All of these agents can be administered intravenously or subcutaneously and have rapid onset of action.",1,1
68,"In general, which of the following is the greatest  risk factor for the development of cancer? A. Age B. Alcohol use C. Cigarette smoking D. Female sex E. Obesity","The answer is A.  (Chap. 26) Although cigarette smoking is the greatest  modifiable risk factor for the development of cancer, the  most significant risk factor for cancer in general is age.  Two-thirds of all cancers are diagnosed in individuals  older than 65 years, and the risk of developing cancer  between the ages of 60 and 79 years is one in three in  men and one in five in women. In contrast, the risk of  cancer between birth and age 49 years is one in 70 for  boys and men and one in 48 for girls and women. Over- all, men have a slightly greater risk of developing cancer  than women (44% vs 38% lifetime risk).","

A. Age. Age is the greatest risk factor for the development of cancer. While alcohol use, cigarette smoking, female sex, and obesity can also increase the risk of certain types of cancer, age is a risk factor for almost all types of cancer.",A. Age. Age is the greatest risk factor for the development of cancer.,1,1
69,"Among women younger than 60 years of age who  die from cancer, which of the following is the most  common primary organ of origin? A. Breast B. Cervix C. Colon D. Bone marrow E. Lung","The answer is A.  (Chap. 26) The cause of cancer death differs across the life  span. In women who are younger than 20 years of age,  the largest cause of cancer death is leukemia. Between the  ages of 20 and 59 years, breast cancer becomes the leading  cause of cancer death. However, lung cancer is the lead- ing cause of cancer death after the age of 60 years and is  overall the number one cause of cancer death in women.","

Answer: A. Breast.

Explanation: According to the American Cancer Society, breast cancer is the most common cancer and the second leading cause of cancer deaths among women in the United States. It is estimated that in 2021, about 78,000 women in the US will die from breast cancer. In contrast, the number of deaths from cervical, colon, bone marrow, and lung cancers combined is lower than the number of breast cancer deaths.","A. Breast.

Explanation: According to the American Cancer Society, breast cancer is the most common cancer and the second leading cause of cancer deaths among women in the United States. In 2020, it is estimated that about 154,000 new cases of breast cancer will be diagnosed, and approximately 50,000 women will die from the disease. In contrast, the number of deaths from cervical, colon, bone marrow, and lung cancers combined is lower than the number of breast cancer deaths. Therefore, the answer is A. Breast.",1,1
70,"A 68-year-old woman is diagnosed with stage II breast  cancer. She has a history of severe chronic obstructive  pulmonary disease with an FEV1 of 32% predicted,  coronary artery disease with prior stenting of the left  anterior descending artery, peripheral vascular disease,  and obesity. She continues to smoke 1 to 2 packs  of cigarettes every day. She requires oxygen at 2 L/ min continuously and is functionally quite limited.  She currently is able to attend to all of her activities  of daily living, including showering and dressing. She  retired from her work as a waitress 10 years previously  because of her lung disease. At home, she does attend  to some of the household chores but is not able to  use a vacuum. She goes out once or twice weekly  to run typical errands and drives. She feels short of  breath with most of these activities and often uses a  motorized chair when out and about. How would  you categorize her performance status and prognosis  for treatment taking this into consideration? A. She has an Eastern Cooperative Oncology Group  (ECOG) grade of 1 and has a good prognosis with  appropriate therapy. B. She has an ECOG grade of 2 and has a good prog- nosis with appropriate therapy. C. She has an ECOG grade of 3 and has a good prog- nosis with appropriate therapy. D. She has an ECOG grade of 3 and has a poor progno- sis despite therapy. E. She has an ECOG grade of 4 and has a poor progno- sis that precludes therapy.","The answer is B.  (Chap. 26) Although tumor burden is certainly a major  factor in determining cancer outcomes, it is also important  to consider the functional status of the patient when con- sidering the therapeutic plan. The physiologic stresses of  undergoing surgical interventions, radiation therapy, and  chemotherapy can exhaust the limited reserves of a patient  with multiple medical problems. It is clearly difficult to  adequately measure the physiologic reserves of a patient,  and most oncologists use performance status measures as a  surrogate. Two of the most commonly used measures of  performance status are the Eastern Cooperative Oncology  Group (ECOG) and Karnofsky performance status. The  ECOG scale provides a grade between 0 (fully active) and  5 (dead). Most patients are considered to have adequate  reserve for undergoing treatment if the performance sta- tus is 0 to 2, with a grade 2 indicating someone who is  ambulatory and capable of all self-care but unable carry out  work activities. These individuals are up and about >50%  of waking hours. A grade 3 performance score indicates  someone who is capable of only limited self-care and is  confined to a bed or chair >50% of waking hours. The  Karnofsky score ranges from 0 (dead) to 100 (normal) and  is graded at 10-point intervals. A Karnofsky score of <70  also indicates someone with poor performance status.","

Answer: D. She has an ECOG grade of 3 and has a poor prognosis despite therapy.

Explanation: The patient's significant comorbidities, including severe COPD, coronary artery disease, peripheral vascular disease, obesity, and smoking history, make her functionally limited and require the use of oxygen continuously. She is unable to perform many activities of daily living, including vacuuming, and requires a motorized chair when out and about. These factors suggest a poor performance status (ECOG grade 3), which is associated with a poorer prognosis, despite appropriate therapy.","D. She has an ECOG grade of 3 and has a poor prognosis despite therapy.

Explanation:
The patient's functional status, as described, indicates that she has significant impairment in her ability to perform basic activities of daily living and is limited in her ability to carry out even light housework or errands. This level of functional impairment is consistent with an Eastern Cooperative Oncology Group (ECOG) performance status of 3, which indicates ""moderate disability."" Patients with an ECOG performance status of 3 have a poorer prognosis compared to those with a better performance status, as they are more likely to experience disease progression and have a greater risk of treatment-related complications. However, it is important to note that appropriate therapy can still be beneficial for this patient, as indicated in the answer choice.",0,0
71,Which of the following tumor markers is appro- priately matched with the cell type cancer and can  be followed during treatment as an adjunct to assess  disease burden? A. CA-125â€”Colon cancer B. Calcitoninâ€”Follicular carcinoma of the thyroid C. CD30â€”Hairy cell leukemia D. Human chorionic gonadotropinâ€”Gestational   trophoblastic disease E. Neuron-specific enolaseâ€”Nonâ€“small cell carcinoma  of the lung,"The answer is D.  (Chap. 26) Tumor markers are proteins produced by  tumor cells that can be measured in the serum or urine.  These markers are neither sensitive nor specific enough  to be useful for diagnosis or screening of cancer. How- ever, in an individual with a known malignancy, rising  or falling levels may be helpful for determining disease  activity and response to therapy. Common tumor mark- ers with associated diseases are shown in Table 26-6.   Of the tumor pairs listed, only human chorionic gonad- otropin is correctly paired with its association with ges- tational trophoblastic disease.","

Answer: C. CD30—Hairy cell leukemia","
B. Calcitonin—Follicular carcinoma of the thyroid.

Calcitonin is a hormone produced by parafollicular cells (C cells) in the thyroid gland. It is primarily used as a tumor marker for follicular carcinoma of the thyroid, a type of thyroid cancer. Monitoring calcitonin levels during treatment can help assess disease burden and response to therapy.",0,0
