,Questions,Answers,chatGpt3.5,AnswersWithRag
36,"A 56-year-old woman is diagnosed with chronic  myeloid leukemia, Philadelphia chromosome posi- tive. Her presenting leukocyte count was 127,000/ Î¼L, and her differential shows <2% circulating  blasts. Her hematocrit is 21.1% at diagnosis. She  is asymptomatic except for fatigue. She has no  siblings. What is the best initial therapy for this   patient? A. Allogeneic bone marrow transplant B. Autologous stem cell transplant C. Imatinib mesylate D. Interferon-Î± E. Leukapheresis","The answer is C.  (Chap. 14) The goal of therapy in chronic myeloid leu- kemia (CML) is to achieve prolonged, durable, non- neoplastic, nonclonal hematopoiesis, which entails the  eradication of any residual cells containing the BCR- ABL1 transcript. Hence, the goal is complete molecular  remission and cure. Therapy of CML has changed in  recent years because of the presence of a proven curative   Review and Self-Assessment 763 treatment (allogeneic transplantation) that has significant  toxicity and a targeted treatment (imatinib) with out- standing outcome based on 8-year follow-up data. New  tyrosine kinase inhibitors are becoming available, mak- ing this a dynamic topic. Many experts currently recom- mend initiating therapy with a tyrosine kinase inhibitor  and reserving allogeneic transplantation for those who  develop drug resistance. Imatinib mesylate is a tyrosine  kinase inhibitor that acts to decrease the activity of the  bcr-abl fusion protein that results from the recipro- cal translocation of chromosomes 9 and 22 (Philadel- phia chromosome). It acts as a competitive inhibitor of  the abl kinase at its ATP binding site and thus leads to  inhibition of tyrosine phosphorylation of proteins in  bcr-abl signal transduction. In newly diagnosed CML,  imatinib results in a complete hematologic remission in  95% of patients initially and 76% at 18 months. Low- risk patients have a higher durable remission rate. All  imatinib-treated patients who achieved major molecular  remission (26%), defined as 3 log or greater reduction  in BCR-ABL1 transcript level at 18 months compared  with pretreatment level, were progression free at 5 years.  There is a consensus that molecular responses can be  used as a treatment goal in CML. Imatinib, taken orally,  has limited side effects that include nausea, fluid reten- tion, diarrhea, and skin rash and is usually well tolerated.  Interferon-Î± was previously the first-line chemotherapy  if bone marrow transplant was not an option, but it has  been replaced by imatinib mesylate. Autologous stem cell  transplant is not currently used for treatment of CML  because there is no reliable way to select residual normal  hematopoietic progenitor cells. Leukopheresis is used for  control of leukocyte counts when the patient is experi- encing complications such as respiratory failure or cere- bral ischemia related to the high white blood cell count.","C. Imatinib mesylate

Imatinib mesylate is the first-line therapy for chronic myeloid leukemia, particularly for patients who are asymptomatic with high leukocyte counts and low blast percentages. It is a tyrosine kinase inhibitor that specifically targets the abnormal BCR-ABL fusion protein produced by the Philadelphia chromosome. Allogeneic bone marrow transplant may be considered in younger patients with high-risk disease, but it is not typically the first-line therapy. Autologous stem cell transplant is not typically used in the treatment of chronic myeloid leukemia. Interferon-α may be used in certain cases, but imatinib is generally preferred due to its higher efficacy and better tolerability. Leukapheresis may be used as a temporary measure to reduce leukocyte counts in patients with symptomatic leukostasis, but it is not a long-term treatment option.",C. Imatinib mesylate
37,"A 76-year-old man is admitted to the hospital with  complaints of fatigue for 4 months and fever for the  past week. His temperature has been as high as 38.3Â°C  at home. During this time, he intermittently has had  a 5.5-kg weight loss, severe bruising with minimal  trauma, and an aching sensation in his bones. He last  saw his primary care physician 2 months ago and was  diagnosed with anemia of unclear etiology at that  time. He has a history of a previous left middle cere- bral artery cerebrovascular accident, which has left  him with decreased functional status. At baseline, he  is able to ambulate in his home with the use of a  walker and is dependent on a caregiver for assistance  with his activities of daily living. His vital signs are  blood pressure of 158/86 mm Hg, heart rate of 98  beats/min, respiratory rate of 18 breaths/min, SaO2  95%, and temperature of 38Â°C. He appears cachec- tic with temporal muscle wasting. He has petechiae  on his hard palate. He has no lymph node enlarge- ment. On cardiovascular examination, there is a  II/VI systolic ejection murmur present. His lungs  are clear. The liver is enlarged and palpable 6 cm  below the right costal margin. In addition, the spleen  is enlarged, with a palpable spleen tip felt about   4 cm below the left costal margin. There are multi- ple hematomas and petechiae present in the extremi- ties. Laboratory examination reveals the following:  hemoglobin, 5.1 g/dL; hematocrit, 15%; platelets,  12,000/Î¼L; and white blood cell (WBC) count,  168,000/Î¼L with 45% blast forms, 30% neutrophils,  20% lymphocytes, and 5% monocytes. Review of  the peripheral blood smear confirms acute myeloid  leukemia (M1 subtype, myeloblastic leukemia with- out maturation) with complex chromosomal abnor- malities on cytogenetics. All of the following confer  a poor prognosis for this patient EXCEPT: A. Advanced age B. Complex chromosomal abnormalities on cytogenetics  Review and Self-Assessment 733 C. Hemoglobin below 7 g/dL D. Prolonged interval between symptom onset and  diagnosis E. WBC count above 100,000/Î¼L","The answer is C.  (Chap. 14) Patients with acute leukemia frequently pres- ent with nonspecific symptoms of fatigue and weight  loss. In addition, weight loss and anorexia are also com- mon. About half have had symptoms for >3 months at  the time of presentation. Fever is present in only about  10% of patients at presentation, and 5% have evidence of  abnormal hemostasis. On physical examination, hepato- megaly, splenomegaly, sternal tenderness, and evidence  of infection or hemorrhage are common presenting signs.  Laboratory studies are confirmatory with evidence of  anemia, thrombocytopenia, and leukocytosis often pres- ent. The median presenting leukocyte count at presenta- tion is 15,000/Î¼L. About 20â€“40% have presenting leu- kocyte counts <5000/Î¼L, and another 20% have counts  >100,000/Î¼L. Review of the peripheral smear confirms  leukemia in most cases. If Auer rods are seen, the diagno- sis of acute myeloid leukemia (AML) is virtually certain.  Thrombocytopenia (platelet count <100,000/Î¼L) is seen  in >75% of individuals with AML. After the diagnosis  of AML has been confirmed, rapid evaluation and treat- ment should be undertaken. The general health of the  cardiovascular, pulmonary, hepatic, and renal systems  should be evaluated because chemotherapy has adverse  effects that may cause organ dysfunction in any of these  systems. Overall, chromosome findings at diagnosis are  currently the most important independent prognostic   factor. Patients with t(15;17) have a very good prognosis    Review and Self-Assessment 764 (~85% cured), and those with t(8;21) and inv(16) have a  good prognosis (~55% cured), but those with no cytoge- netic abnormality have a moderately favorable outcome  (~40% cured). Patients with a complex karyotype, t(6;9),  inv(3), or â€“7, have a very poor prognosis. Among the  prognostic factors that predict poor outcomes in AML,  age at diagnosis is one of the most important because indi- viduals of advanced age tolerate induction chemotherapy  poorly. In addition, advanced age is more likely to be  associated with multiple chromosomal abnormalities that  predict poorer response to chemotherapy, although some  chromosomal markers predict a better response to che- motherapy. Poor performance status independent of age  also decreases survival in AML. Responsiveness to chemo- therapy and survival are also worse if the leukocyte count  is >100,000/Î¼L or the antecedent course of symptoms  is prolonged. Anemia, leukopenia, or thrombocytope- nia present for >3 months is a poor prognostic indicator.  However, there is no absolute degree of anemia or throm- bocytopenia that predicts worse outcomes.","B. Complex chromosomal abnormalities on cytogenetics

Complex chromosomal abnormalities on cytogenetics are associated with a poor prognosis in patients with acute myeloid leukemia. The other factors listed, such as advanced age, low hemoglobin levels, and a prolonged interval between symptom onset and diagnosis, are all associated with a poor prognosis in this patient. A high white blood cell count above 100,000/μL is also associated with a poor prognosis in acute myeloid leukemia.","The poor prognosis factors for the patient with acute myeloid leukemia (M1 subtype) with complex chromosomal abnormalities on cytogenetics include advanced age, complex chromosomal abnormalities on cytogenetics, hemoglobin below 7 g/dL, and a prolonged interval between symptom onset and diagnosis. The factor that does not confer a poor prognosis for this patient is a white blood cell (WBC) count above 100,000/μL."
38,The evaluation in a newly diagnosed case of acute  lymphoid leukemia should routinely include all of  the following EXCEPT: A. Bone marrow biopsy B. Cell-surface phenotyping C. Cytogenetic testing D. Lumbar puncture E. Plasma viscosity,"The answer is E.  (Chap. 15) Viscosity testing is typically reserved for cases  of multiple myeloma in which paraproteins (particularly  immunoglobulin M) can lead to vascular sludging and  subsequent tissue ischemia. Acute lymphoid leukemia  (ALL) can lead to end-organ abnormalities in the kidney  and liver; therefore, routine chemistry tests are indicated.  A lumbar puncture must be performed in cases of newly  diagnosed ALL to rule out spread of disease to the central  nervous system. Bone marrow biopsy reveals the degree  of marrow infiltration and is often necessary for classifica- tion of the tumor. Immunologic cell-surface marker test- ing often identifies the cell lineage involved and the type  of tumor, information that is often impossible to discern  from morphologic interpretation alone. Cytogenetic test- ing provides prognostic information on the disease natu- ral history. In ALL, the prognosis depends on the genetic  characteristics of the tumor, the patientâ€™s age, the white  blood cell count, and the patientâ€™s overall clinical status and  major organ function.","E. Plasma viscosity

Plasma viscosity is not typically included in the routine evaluation of a newly diagnosed case of acute lymphoid leukemia. It is not a standard test used in the diagnosis or monitoring of this type of leukemia.",D. Lumbar puncture
39,All of the following infectious agents have been  associated with development of a lymphoid malig- nancy EXCEPT: A. Helicobacter pylori B. Hepatitis B C. Hepatitis C D. HIV E. Human herpes virus 8 (HHV8),"The answer is B.  (Chap. 15) Hepatitis B and C are both common causes  of cirrhosis and are strongly associated with the devel- opment of hepatocellular carcinoma. Hepatitis C, but  not hepatitis B, can also lead to a lymphoplasmacytic  lymphoma, often in the spleen, that resolves with cure  of hepatitis C. Epstein-Barr virus has been associated  with a large number of lymphoid malignancies, includ- ing posttransplant lymphoproliferative disease (PTLD),  Hodgkinâ€™s disease, central nervous system lymphoma,  and Burkittâ€™s lymphoma. Helicobacter pylori infection is  necessary and sufficient for gastric mucosa-associated  lymphoid tissue (MALT) lymphoma development, and  cure can be achieved with eradication of the organism in  some cases. HHV8 is a known cause of body cavity lym- phoma, including primary pleural lymphoma. In addi- tion to those listed, human T-lymphotropic virus type 1  is associated with adult T-cell lymphoma or leukemia.  Other disorders associated with lymphoma include  celiac sprue, autoimmune disease, and biologic therapies  for autoimmune disease. Celiac sprue has been associated  with gastrointestinal tract lymphoma. Many collagen  vascular diseases (e.g., Sjogrenâ€™s disease) and antiâ€“tumor  necrosis factor therapies have been associated with the  development of lymphoma.",A. Helicobacter pylori,A. Helicobacter pylori
40,"A 64-year-old man with chronic lymphoid leuke- mia and chronic hepatitis C presents for his yearly  follow-up. His white blood cell count is stable at  83,000/Î¼L, but his hematocrit has dropped from  35â€“26%, and his platelet count also dropped from  178,000/Î¼L to 69,000/Î¼L. His initial evaluation  should include all of the following EXCEPT: A. AST, ALT, and prothrombin time B. Bone marrow biopsy C. Coombs test D. Peripheral blood smear E. Physical examination","The answer is B.  (Chap. 15) Autoimmune hemolytic anemia and throm- bocytopenia are common, and a peripheral blood smear  and a Coombs test help evaluate their presence. Hyper- splenism is also seen in chronic lymphoid leukemia  (CLL) as the spleen sequesters large numbers of circulat- ing blood cells and enlarges. Hence, a careful left upper  quadrant examination looking for a palpable splenic tip  is the standard of care in this situation. This patient is at  risk of hepatic decompensation as well, given his hepati- tis C that can also cause anemia and thrombocytopenia.  Bone marrow infiltration of tumor cells can lead to cyto- penias in CLL. However, this is in effect a diagnosis of  exclusion. After these three possibilities have been ruled  out, a bone marrow biopsy is a reasonable next step.  This initial evaluation before presuming spread of CLL is  critical for therapy because each possibility requires dif- ferent therapy (glucocorticoids or rituximab for hemoly- sis, hepatology referral for liver failure, and splenectomy  for symptomatic hypersplenism).","B. Bone marrow biopsy

Bone marrow biopsy is not typically indicated in the initial evaluation of a patient with chronic lymphoid leukemia and chronic hepatitis C presenting with a drop in hematocrit and platelet count. The other options (AST, ALT, and prothrombin time, Coombs test, peripheral blood smear, and physical examination) are more appropriate initial tests to assess for potential causes of the drop in hematocrit and platelet count.",B. Bone marrow biopsy
41,"During a routine visit, a 68-year-old woman com- plains of 3 months of fatigue, abdominal fullness,  and bilateral axillary adenopathy. On physical exam- ination, vital signs are normal, and she has bilateral  palpable axillary and cervical adenopathy and an  enlarged spleen. A complete blood count is notable  for a white cell count of 88,000 with 99% lympho- cytes. A peripheral smear is shown in Figure 45.  Which of the following is the most likely diagnosis?  A. Acute lymphoblastic leukemia B. Acute myelogenous leukemia C. Chronic lymphocytic lymphoma D. Hairy cell leukemia E. Mononucleosis","The answer is C.  (Chap. 15) The peripheral smear shows increased num- bers of small, well-differentiated, normal-appearing  lymphocytes characteristic of chronic lymphocytic leu- kemia, the most common leukemia or lymphoma in  adults. Common presenting complaints typically include  fatigue, frequent infections, new lymphadenopathy, and  abdominal complaints relating to splenomegaly. Hairy  cell leukemia is a rare disease that presents predominantly  in older men. The typical presentation involves pancyto- penia, although occasional patients will have a leukemic  presentation. Splenomegaly is usual. The malignant cells  appear to have â€œhairyâ€ projections on light and elec- tron microscopy. Patients with this disorder are prone to  unusual infections, including infection by Mycobacterium  avium intracellulare, and to vasculitic syndromes. Hairy cell  leukemia is responsive to chemotherapy with cladrib- ine with clinical complete remissions in the majority of  patients and frequent long-term disease-free survival.","C. Chronic lymphocytic lymphoma

The presentation of fatigue, abdominal fullness, bilateral axillary adenopathy, and an enlarged spleen, along with a high white cell count with predominantly lymphocytes, is consistent with chronic lymphocytic lymphoma. Additionally, the peripheral smear showing mature-appearing lymphocytes with smudge cells is characteristic of chronic lymphocytic lymphoma.",The most likely diagnosis based on the provided information is Chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL).
42,Which of the following carries the best disease  prognosis with appropriate treatment? A. Burkittâ€™s lymphoma B. Diffuse large B-cell lymphoma C. Follicular lymphoma D. Mantle cell lymphoma E. Nodular sclerosing Hodgkinâ€™s disease,"The answer is E.  (Chap. 15) Classical Hodgkinâ€™s disease carries a better  prognosis than all types of non-Hodgkinâ€™s lymphoma.   Review and Self-Assessment 765 Patients with good prognostic factors can achieve cure  with extended field radiation alone, but those with a  higher risk disease often achieve cure with high-dose  chemotherapy and sometimes radiation. The chance  of cure is so high (>90%) that many protocols are now  considering long-term sequelae of current therapy such  as carcinomas, hypothyroidism, premature coronary dis- ease, and constrictive pericarditis in those receiving radi- ation therapy. A variety of chemotherapy regimens are  effective with long-term disease-free survival in patients  with advanced disease achieved in >75% of patients who  lack systemic symptoms and in 60â€“70% of patients with  systemic symptoms.","E. Nodular sclerosing Hodgkin's disease

Nodular sclerosing Hodgkin's disease typically has a good prognosis with appropriate treatment, including chemotherapy and radiation therapy. It is considered one of the more treatable forms of Hodgkin's lymphoma.",A. Burkitt's lymphoma
43,"A 27-year-old man seeks medical attention for  enlarging nodules in his neck. He reports they are  nontender and have been growing for >1 month.  At first he thought they were caused by a sore  throat, but over the past 3 weeks, he has felt well  with no fever, chills, throat pain, or other associated  symptoms. He notes a slightly diminished appe- tite but no weight loss. He works as a video game  developer, does not smoke or use illicit drugs, and  is sexually active with numerous female partners.  He has never been tested for HIV. A lymph node  biopsy is performed and is shown in Figure 47.  Which of the following is the most likely  diagnosis?  FIGURE 45 FIGURE 47  Review and Self-Assessment 734 A. Burkittâ€™s lymphoma B. Cat scratch disease C. CMV infection D. Hodgkinâ€™s disease E. Non-Hodgkinâ€™s lymphoma","The answer is D.  (Chap. 15) The large cell with a bilobed nucleus and  prominent nucleoli giving an â€œowlâ€™s eyesâ€ appearance  near the center of the field is a Reed-Sternberg cell, con- firming the diagnosis of Hodgkinâ€™s disease. Hodgkinâ€™s  disease occurs in 8000 patients in the United States  each year, and the disease does not appear to be increas- ing in frequency. Most patients present with palpable  lymphadenopathy that is nontender; in most patients,  these lymph nodes are in the neck, supraclavicular area,  and axilla. More than half the patients have mediasti- nal adenopathy at diagnosis, and this is sometimes the  initial manifestation. A subdiaphragmatic presentation of  Hodgkinâ€™s disease is unusual and more common in older  men. One-third of patients present with fevers, night  sweats, or weight loss, which are B symptoms in the  Ann Arbor staging classification. Occasionally, Hodg- kinâ€™s disease can present as a fever of unknown origin.  This is more common in older patients who are found to  have mixed cellularity Hodgkinâ€™s disease in an abdomi- nal site. Rarely, the fevers persist for days to weeks fol- lowed by afebrile intervals and then recurrence of the  fever (Pel-Ebstein fever). The differential diagnosis of  a lymph node biopsy suspicious for Hodgkinâ€™s disease  includes inflammatory processes, mononucleosis, non- Hodgkinâ€™s lymphoma, phenytoin-induced adenopathy,  and nonlymphomatous malignancies.","B. Cat scratch disease

The biopsy shows granulomatous inflammation, which is characteristic of cat scratch disease. This condition is caused by the bacterium Bartonella henselae, which is transmitted through scratches or bites from infected cats. Symptoms typically include enlarged, nontender lymph nodes, fever, and malaise. This diagnosis is more likely in a young, sexually active individual with multiple partners who has not been tested for HIV.",Hodgkin's disease
44,All of the following statements regarding mastocy- tosis are true EXCEPT: A. Elevated serum tryptase suggests aggressive   disease. B. Eosinophilia is common. C. It is often associated with myeloid neoplasm. D. More than 90% of cases are confined to the skin. E. Urticaria pigmentosa is the most common clinical  manifestation.,"The answer is D.  (Chap. 16) Mastocytosis is a proliferation and accumula- tion of mast cells in one or more organ systems. Only  the skin is involved in approximately 80% of cases with  the other 20% being defined as systemic mastocytosis  caused by the involvement of another organ system. The  most common manifestation of mastocytosis is cutaneous  urticaria pigmentosa, a maculopapular pigmented rash  involving the papillary dermis. Other cutaneous forms  include diffuse cutaneous mastocytosis (almost entirely  in children) and mastocytoma. Clinical manifestations of  systemic mastocytosis are related to either cellular infil- tration of organs or release of histamine, proteases, eico- sanoids, or heparin from mast cells. Therefore, signs and  symptoms may include constitutional symptoms, skin  manifestations (pruritus, dermatographia, rash), medi- ator-related symptoms (abdominal pain, flushing, syn- cope, hypertension, diarrhea), and bone-related symp- toms (fracture, pain, arthralgia). In a recent series, 40%  of patients with systemic mastocytosis had an associated  myeloid neoplasm, most commonly myeloproliferative  syndrome, chronic myeloid leukemia, or myelodysplas- tic syndrome. Eosinophilia was present in approximately  one-third of patients. Elevated serum tryptase, bone mar- row involvement, splenomegaly, skeletal involvement,  cytopenia, and malabsorption predict more aggressive  disease and a worse prognosis. Many patients with sys- temic mastocytosis have an activating mutation of c-Kit,  a kinase inhibited by imatinib; however, the mutation  appears relatively resistant to this agent.",B. Eosinophilia is common.,D. More than 90% of cases are confined to the skin.
45,"A 58-year-old man is evaluated in the emergency  department for sudden onset cough with yellow  sputum production and dyspnea. Aside from sys- temic hypertension, he is otherwise healthy. His  only medication is amlodipine. Chest radiograph  shows a right upper lobe alveolar infiltrate, and  laboratory test results are notable for a blood urea  nitrogen of 53 mg/dL, creatinine of 2.8 mg/dL, cal- cium of 12.3 mg/dL, total protein of 9 g/dL, and  albumin of 3.1 g/dL. Sputum culture grows Strep- tococcus pneumonia. Which of the following tests will  confirm the underlying condition predisposing him  to pneumococcal pneumonia? A. Bone marrow biopsy B. Computed tomography of the chest, abdomen, and  pelvis with contrast C. HIV antibody D. Sweat chloride testing E. Videoscopic swallow study","The answer is A.  (Chap. 17) The patient presents with pneumococcal  pneumonia and evidence of hypercalcemia, renal fail- ure, and a wide protein gap suggestive of an M pro- tein. These findings are classic for multiple myeloma.  Although the patient appears to be making large quan- tities of immunoglobulins, they are in fact generally  monoclonal, and patients actually have functional hypo- gammaglobulinemia related to both decreased produc- tion and increased destruction of normal antibodies. This  hypogammaglobulinemia predisposes patients to infec- tions, most commonly pneumonia with pneumococcus  or Staphylococcus aureus or gram-negative pyelonephritis.  Bone marrow biopsy would confirm the presence of  clonal plasma cells and define the quantity, which will  help define treatment options. A serum protein electro- phoresis would also be indicated to prove the presence  of the M protein suspected by the wide protein gap.  Although HIV may be associated with kidney injury,  both acute and chronic, hypercalcemia would be an  unusual feature. There is no clinical history of aspira- tion, and the location of infiltrate, upper lobe, is unusual  for aspiration. Sweat chloride testing is not indicated  because there is no suspicion for cystic fibrosis. Because  solid organ malignancy is not suspected, computed  tomography of the body is unlikely to be helpful.","C. HIV antibody

This patient presents with pneumococcal pneumonia and has laboratory findings suggestive of hypercalcemia, renal insufficiency, and proteinuria, which are consistent with hyperparathyroidism. HIV infection is a known risk factor for pneumococcal pneumonia, so testing for HIV antibodies would be appropriate in this case.",A. Bone marrow biopsy
46,"A 64-year-old African American man is evaluated in  the hospital for congestive heart failure, renal failure,  and polyneuropathy. Physical examination on admis- sion was notable for these findings and raised waxy  papules in the axilla and inguinal region. Admission  laboratories showed a blood urea nitrogen of 90 mg/ dL and a creatinine of 6.3 mg/dL. Total protein  was 9.0 g/dL with an albumin of 3.2 g/dL. Hema- tocrit was 24%, and white blood cell and platelet  counts were normal. Urinalysis was remarkable for  3+ proteinuria but no cellular casts. Further evalu- ation included an echocardiogram with a thickened  left ventricle and preserved systolic function. Which  of the following tests is most likely to diagnose the  underlying condition? A. Bone marrow biopsy B. Electromyogram (EMG) with nerve conduction  studies C. Fat pad biopsy D. Right heart catheterization E. Renal ultrasonography","The answer is A.  (Chap. 18) This patient presents with a multisystem ill- ness involving the heart, kidneys, and peripheral ner- vous system. The physical examination is suggestive of  amyloidosis with classic waxy papules in the folds of his  body. The laboratory test results are remarkable for renal  failure of unclear etiology with significant proteinuria  but no cellular casts. A possible etiology of the renal   failure is suggested by the elevated gamma globulin frac- tion and low hematocrit, bringing to mind a monoclo- nal gammopathy perhaps leading to renal failure through  amyloid AL deposition. This could also account for the   Review and Self-Assessment 766 enlarged heart seen on the echocardiography and the  peripheral neuropathy. The fat pad biopsy is generally  reported to be 60â€“80% sensitive for amyloid; how- ever, it would not allow a diagnosis of this patientâ€™s  likely myeloma. A right heart catheterization probably  would prove that the patient has restrictive cardiomy- opathy secondary to amyloid deposition; however, it too  would not diagnose the underlying plasma cell dyscrasia.  Renal ultrasonography, although warranted to rule out  obstructive uropathy, would not be diagnostic. Simi- larly, the electromyographic and nerve conduction stud- ies would not be diagnostic. The bone marrow biopsy is  about 50â€“60% sensitive for amyloid, but it would allow  evaluation of the percent of plasma cells in the bone  marrow and allow the diagnosis of multiple myeloma to  be made. Multiple myeloma is associated with amyloid  AL in approximately 20% of cases. Light chains most  commonly deposit systemically in the heart, kidneys,  liver, and nervous system, causing organ dysfunction. In  these organs, biopsy would show the classic eosinophilic  material that, when exposed to Congo red stain, has a  characteristic apple-green birefringence.","C. Fat pad biopsy

The patient's presentation with congestive heart failure, renal failure, polyneuropathy, and waxy papules in the axilla and inguinal region is suggestive of systemic amyloidosis. Fat pad biopsy is a minimally invasive procedure that can be used to diagnose amyloidosis by identifying amyloid deposits in the tissue. This test is often used in conjunction with other diagnostic tests such as serum and urine protein electrophoresis, immunofixation, and bone marrow biopsy to confirm the diagnosis of amyloidosis.",C. Fat pad biopsy
47,"A 75-year-old man is hospitalized for treatment of  a deep-vein thrombosis. He had recently been dis- charged from the hospital about 2 months ago. At  that time, he had been treated for community- acquired pneumonia complicated by acute respira- tory failure requiring mechanical ventilation. He  was hospitalized for 21 days at that time and had dis- charged from a rehabilitation 2 weeks ago. On the  day before admission, he developed painful swelling  of his left lower extremity. Lower extremity Doppler  ultrasonography confirmed an occlusive thrombus  of his deep femoral vein. After an initial bolus, he  is started on a continuous infusion of unfractionated  heparin at 1600 U/hr because he has end-stage renal  disease on hemodialysis. His activated partial throm- boplastin time is maintained in the therapeutic range.  On day 5, it is noted that his platelets have fallen from  150,000/Î¼L to 88,000/Î¼L. What is the most appro- priate action at this time? A. Continue heparin infusion at the current dose and  assess for anti-heparin/platelet factor 4 antibodies. B. Stop all anticoagulation while awaiting results of  anti-heparin/platelet factor 4 antibodies. C. Stop heparin infusion and initiate argatroban. D. Stop heparin infusion and initiate enoxaparin. E. Stop heparin infusion and initiate lepirudin.","The answer is C.  (Chap. 19) Heparin-induced thrombocytopenia (HIT) is  a clinical diagnosis that must not be missed because life- threatening thrombosis can occur if not treated appro- priately. The cause of HIT is the formation of antibodies  to the complex of heparin and platelet factor 4 (PF4).  This complex is able to activate platelets, monocytes,  and endothelial cells. Many patients exposed to heparin  will develop antibodies to the heparinâ€“PF4 complex, but  only a few of these will progress to develop thrombocy- topenia or thrombocytopenia with thrombosis (HITT).  The typical patient will develop evidence of HIT 5 to  14 days after exposure to heparin, although it can occur  within 5 days in individuals exposed to heparin within  about the previous 100 days as would be expected in this  patient given his recent hospitalization. The nadir platelet  count is typically >20,000/Î¼L. When HIT is suspected,  one should not delay treatment for laboratory testing  because no currently available test has adequate sensitiv- ity or specificity for the diagnosis. The antiheparin/PF4  antibody test result is positive in many individuals who  have been exposed to heparin regardless of whether HIT  is present. The platelet activation assay is more specific  but less sensitive for HIT. As soon as HIT is suspected,  heparin should be discontinued and replaced with an  alternative form of anticoagulation to protect against  development of new thromboses. Low-molecular-weight  heparins (LMWHs) such as enoxaparin are not appropri- ate treatment options in individuals with HIT. Although   heparin is 10 times more likely to cause HIT, LMWHs  also cause the illness and should not be used. The primary  agents used for HIT in the United States are the direct  thrombin inhibitors argatroban and lepirudin. Argatroban  is the preferred agent for this patient because of his renal  failure. The drug is not excreted by the kidneys, and  no dosage adjustment is required. In contrast, lepirudin  is markedly increased in renal failure, and a significant  dosage adjustment is required. Danaparoid has previ- ously been used frequently for HIT and HITT, but this  medication is no longer available in the United States.  Other anticoagulants that are used for treatment of HITT  include bivalirudin and fondaparinux, but these also are  not currently approved for use in the United States.","A. Continue heparin infusion at the current dose and assess for anti-heparin/platelet factor 4 antibodies.

This patient is experiencing heparin-induced thrombocytopenia (HIT), which is a rare but serious complication of heparin therapy. The most appropriate action at this time is to continue the heparin infusion at the current dose and assess for anti-heparin/platelet factor 4 antibodies. If the antibodies are positive, heparin should be stopped immediately and an alternative anticoagulant such as argatroban, enoxaparin, or lepirudin should be initiated.",C. Stop heparin infusion and initiate argatroban.
