,Questions,Answers,chatGpt3.5,AnswersWithRag
60,All of the anticoagulant or antiplatelet drugs listed  are correctly matched with their mechanisms of  action EXCEPT: A. Abciximabâ€”Glycoprotein IIb/IIIa receptor   inhibitor B. Clopidogrelâ€”Adenosine diphosphate receptor  blockade C. Enoxaparinâ€”Direct thrombin inhibition D. Rivaroxabanâ€”Factor Xa inhibition E. Warfarinâ€”Inhibition of production of the vitamin  Kâ€“dependent clotting factors,"The answer is C.  (Chap. 23) In recent years, a variety of new anticoagulant  and antiplatelet drugs have been developed for clinical use.   Platelets play an important role in arterial thrombosis,  particularly in coronary artery and cerebrovascular dis- ease. Aspirin is the most widely used antiplatelet drug  worldwide. Aspirin exerts its effects through inhibition of  cyclooxygenase-1. Other commonly used oral antiplatelet  agents are clopidogrel and dipyridamole. Clopidogrel is in  a class of agents called thienopyridines along with ticlopi- dine. Thienopyridines act to block a specific adenosine  diphosphate receptor (P2Y12) and inhibit platelet aggrega- tion. Dipyridamole inhibits phosphodiesterase to decrease  the breakdown of cyclic adenosine monophosphate  (cAMP) to decrease platelet aggregation. Intravenous  antiplatelet agents have also become increasingly impor- tant in the treatment of acute coronary syndromes. All of  the intravenous agents act to inhibit platelet aggregation  by blocking the glycoprotein (Gp) IIb/IIIa receptor. The   Review and Self-Assessment 770 three agents in clinical use as Gp IIb/IIIa inhibitors are  abciximab, eptifibatide, and tirofiban.  Anticoagulant agents are primarily used for the preven- tion and treatment of venous thrombosis. Many antico- agulants are available and act by a variety of mechanisms.  Heparin has been used for many years but requires frequent  monitoring to be used safely. More recently, low-molec- ular-weight heparins (LMWHs) have been introduced.  These agents are given subcutaneously and generally pre- ferred in many instances over heparin given a more predict- able anticoagulant effect. Both heparin and the LMWHs  are indirect thrombin inhibitors that act primarily through  activation of antithrombin. When activated, antithrombin  inhibits clotting enzymes, especially thrombin and factor  Xa. Fondaparinux is a newer anticoagulant that inhibits  only factor Xa, although it is a synthetic analogue of the  pentasaccharide sequence in heparin that binds antithrom- bin. However, it is too short to bridge antithrombin to  thrombin. The direct thrombin inhibitors bind directly to  thrombin (rather than antithrombin) to exert their activ- ity. The direct thrombin inhibitors include lepirudin, arg- atroban, and bivalirudin. The most commonly used oral  anticoagulant is warfarin, which inhibits the production  of vitamin Kâ€“dependent clotting factors. Given the need  for frequent monitoring and extensive drug interactions,  developing other oral anticoagulants that are safe and effec- tive has been desired for many years. No oral drug has yet  been introduced into the market. However, several are in  the final stages of development. These include two factor  Xa inhibitors (rivaroxaban and apixaban) and one factor IIa  inhibitor (dabigatran etexilate).","C. Enoxaparinâ€”Direct thrombin inhibition

Enoxaparin is a low molecular weight heparin that acts by enhancing the activity of antithrombin III, leading to inhibition of factor Xa. It does not directly inhibit thrombin.",C. Enoxaparinâ€”Direct thrombin inhibition
61,"A 66-year-old woman is prescribed clopidogrel  and aspirin after implantation of a bare metal stent  in her right coronary artery. Two weeks after the  procedure, the woman presents to the emergency  department with acute-onset chest pain and elec- trocardiographic changes consistent with an acute  inferior myocardial infarction. Emergent cardiac  catheterization confirms in-stent restenosis. The  patient insists she has been adherent to her pre- scribed therapy. Which of the following state- ments most correctly described the most likely  cause of the patientâ€™s restenosis despite her current  therapy? A. She likely has aspirin resistance and should be treated  with higher doses of aspirin to prevent a recurrence. B. She likely has clopidogrel resistance caused by a  genetic polymorphism of the CYP pathway. C. She should have been treated with low-molecular- weight heparin to prevent this complication. D. She should have been treated with warfarin to pre- vent this complication. E. Because she has demonstrated resistance to clopido- grel, switching to prasugrel would not be useful to  prevent further complications.","The answer is B.  (Chap. 23) After implantation of a bare metal coronary  artery stent, aspirin and clopidogrel are recommended  for at least 4 weeks to decrease the risk of in-stent reste- nosis. This patient, however, developed the complica- tion despite adherence to her therapy. This generally  suggests resistance to clopidogrel with a decreased ability  of clopidogrel to inhibit platelet aggregation. There is  a known genetic component to clopidogrel resistance  related to specific genetic polymorphisms of the CYP  isoenzymes. Up to 25% of whites, 30% of African Amer- icans, and 50% of Asians may carry an allele that renders  them resistant to clopidogrel. These polymorphisms are  less important in the activation of prasugrel. Thus, in  individuals who have evidence of clopidogrel resistance,  switching to prasugrel should be considered.  Aspirin resistance is a more controversial subject. It  is defined simply in clinical terms as failure of aspirin to  prevent ischemic vascular events. Biochemically, aspirin  resistance can be defined by failure of usual doses of the  drug to produce inhibitory effects on platelet function.  However, resistance to aspirin is not reversed by higher  doses of aspirin or adding another antiplatelet agent.  Because the primary mechanism of arterial thrombosis  is platelet aggregation, the anticoagulant agents warfarin  and low-molecular-weight heparin are not indicated.","B. She likely has clopidogrel resistance caused by a genetic polymorphism of the CYP pathway.

Clopidogrel is a prodrug that requires activation by the cytochrome P450 (CYP) pathway in order to exert its antiplatelet effects. Genetic polymorphisms in the CYP pathway can lead to variability in clopidogrel metabolism, resulting in reduced effectiveness of the drug. This can lead to in-stent restenosis despite adherence to therapy. Switching to a different P2Y12 inhibitor, such as prasugrel, may be more effective in patients with clopidogrel resistance.","E. Because she has demonstrated resistance to clopidogrel, switching to prasugrel would not be useful to prevent further complications."
62,"A 48-year-old woman is diagnosed with a deep- vein thrombosis of her left lower extremity. When  considering initial anticoagulant therapy, all of the  following are advantages of low-molecular-weight  heparins over heparin EXCEPT: A. Better bioavailability B. Dose-dependent clearance C. Longer half-life after subcutaneous injection D. Lower risk of heparin-induced thrombocytopenia E. Predictable anticoagulant effect","The answer is B.  (Chap. 23) Low-molecular-weight heparins (LMWHs)  have largely replaced heparin for most indications if a  patient does not have any contraindications to therapy.  LMWHs have better bioavailability and longer half-lives  after subcutaneous injection. Thus, they can be given at  routine intervals for both prophylaxis and treatment. In  addition, dosing of LMWHs is simplified because these  drugs have a dose-independent clearance, and predict- able anticoagulant effects means that monitoring of anti- coagulant effect is not required in most patients. Finally,  LMWHs have a lower risk of heparin-induced throm- bocytopenia, which is important in both short- and  long-term administration.","B. Dose-dependent clearance

Low-molecular-weight heparins have a more predictable anticoagulant effect, better bioavailability, longer half-life after subcutaneous injection, and a lower risk of heparin-induced thrombocytopenia compared to unfractionated heparin. Dose-dependent clearance is a characteristic of unfractionated heparin, not low-molecular-weight heparins.",D. Lower risk of heparin-induced thrombocytopenia
63,In which of the following patients presenting with  acute dyspnea would a positive d-dimer prompt  additional testing for a pulmonary embolus?  Review and Self-Assessment 738 A. A 24-year-old woman who is 32 weeks pregnant B. A 48-year-old man with no medical history who  presents with calf pain following prolonged air travel;  the alveolarâ€“arterial oxygen gradient is normal C. A 56-year-old woman undergoing chemotherapy for  breast cancer D. A 62-year-old man who underwent hip replacement  surgery 4 weeks previously E. A 72-year-old man who had an acute myocardial  infarction 2 weeks ago,"The answer is B.  (Chap. 22) The d-dimer measured by enzyme-linked  immunosorbent assay (ELISA) is elevated in the setting  of breakdown of fibrin by plasmin, and the presence of  a positive d-dimer can prompt the need for additional  imaging for deep-vein thrombosis and/or pulmonary  embolus in specific clinical situations in which the patient  would be considered to have an elevation in d-dimer.  However, one must be cautious about placing value on  an elevated d-dimer in other situations when there can  be an alternative explanation for the elevated level. Of  the scenarios listed in the question, the only patient who  would be expected to have a negative d-dimer result  would be the patient with calf pain and recent air travel.  The presence of a normal alveolarâ€“arterial oxygen gradi- ent cannot reliably differentiate between those with and  without pulmonary embolism. In all the other scenarios,  elevations in d-dimer could be related to other medi- cal conditions and provide no diagnostic information  to inform the clinician regarding the need for further  evaluation. Some common clinical situations in which  the d-dimer is elevated include sepsis, myocardial infarc- tion, cancer, pneumonia, the postoperative state, and the  second and third trimesters of pregnancy.","The patients in which a positive d-dimer would prompt additional testing for a pulmonary embolus are:

C. A 56-year-old woman undergoing chemotherapy for breast cancer
D. A 62-year-old man who underwent hip replacement surgery 4 weeks previously

Patients with cancer and those who have undergone recent surgery are at higher risk for developing pulmonary embolism, so a positive d-dimer in these patients would warrant further investigation.",A. A 24-year-old woman who is 32 weeks pregnant
64,A 62-year-old woman is hospitalized following  an acute pulmonary embolism. All of the follow- ing would typically indicate a massive pulmonary  embolism EXCEPT: A. Elevated serum troponin levels B. Initial presentation with hemoptysis C. Initial presentation with syncope D. Presence of right ventricular enlargement on CT  scan of the chest E. Presence of right ventricular hypokinesis on   echocardiogram,"The answer is B.  (Chap. 22) Clinically, individuals with massive pulmonary  embolus present with hypotension, syncope, or cyanosis.  The hypotension and syncope occur due to acute right ven- tricular overload, and elevated troponin or amino terminal   (NT)-pro-brain natriuretic peptide can result from this  right ventricular strain. Both elevated troponin and NT- pro-brain natriuretic peptide predict worse outcomes in  pulmonary embolism. Further prognostic signs of massive  pulmonary embolism include the presence of right ventric- ular enlargement on computed tomography of the chest  or right ventricular hypokinesis on echocardiography.   The presence of hemoptysis, pleuritic chest pain, or   Review and Self-Assessment 771 cough in association with pulmonary embolism most  commonly indicates a small peripheral lesion.","A. Elevated serum troponin levels

Elevated serum troponin levels are typically seen in cases of myocardial infarction or heart muscle damage, not necessarily in cases of pulmonary embolism. The other options are more commonly associated with a massive pulmonary embolism.",A. Elevated serum troponin levels
65,"Which of the following statements regarding diag- nostic imaging in pulmonary embolism is TRUE? A. A high probability ventilationâ€“perfusion scan is one  that has at least one segmental perfusion defect in the  setting of normal ventilation. B. If a patient has a high probability ventilationâ€“  perfusion scan, there is a 90% likelihood that the  patient does indeed have a pulmonary embolism. C. Magnetic resonance angiography provides excel- lent resolution for both large proximal and smaller  segmental pulmonary emboli. D. Multidetector-row spiral CT imaging is suboptimal  for detecting small peripheral emboli, necessitating  the use of invasive pulmonary angiography. E. None of the routinely used imaging techniques  provide adequate evaluation of the right ventricle to  assist in risk stratification of the patient.","The answer is B.  (Chap. 22) For many years, ventilationâ€“perfusion imag- ing (V-Q) was the standard for the diagnosis of pulmo- nary embolism (pulmonary embolism). Determination of  abnormal V-Q imaging can be difficult. To call a V-Q  scan a high-probability scan, one needs to see two or more  segmental perfusion defects in the setting of normal venti- lation. In patients with underlying lung disease, however,  ventilation is frequently abnormal, and most patients with  pulmonary embolism do not actually have high-probabil- ity V-Q scans. When there is a high-probability V-Q scan,  the likelihood of pulmonary embolism is 90% or greater.  Alternatively, patients with normal perfusion imaging  have a very low likelihood of pulmonary embolism. Most  patients fall into either the low or intermediate probabil- ity of having a pulmonary embolism by V-Q imaging.  In this setting, 40% of patients with a high clinical suspi- cion of pulmonary embolism are determined by pulmo- nary angiography to indeed have a pulmonary embolism  despite having a low-probability V-Q scan. At the present  time, V-Q scanning is largely supplanted by multidetec- tor-row spiral computed tomography (CT) angiography  of the chest. Compared with conventional CT scanning  with intravenous contrast, the multidetector spiral CT can  provide evaluation of the pulmonary arteries to the sixth- order branches, a level of resolution that is as good as or  exceeds that of conventional invasive pulmonary angiog- raphy. In addition, the CT allows evaluation of the right  and left ventricles as well as the lung parenchyma to pro- vide additional information regarding prognosis in acute  pulmonary embolism or alternative diagnosis in the patient  with dyspnea. Magnetic resonance angiography is a rarely  used alternative to the above modalities in patients with  contrast dye allergy. This technique provides the ability to  detect large proximal PEs but lacks reliability for segmental  and subsegmental pulmonary embolism.",E. None of the routinely used imaging techniques provide adequate evaluation of the right ventricle to assist in risk stratification of the patient.,"D. Multidetector-row spiral CT imaging is suboptimal for detecting small peripheral emboli, necessitating the use of invasive pulmonary angiography."
66,"A 53-year-old woman presents to the hospital fol- lowing an episode of syncope, with ongoing light- headedness and shortness of breath. She had a history  of antiphospholipid syndrome with prior pulmo- nary embolism and has been nonadherent to her  anticoagulation medication recently. She has been  prescribed warfarin, 7.5 mg daily, but reports taking  it only intermittently. She does not know her most  recent INR. On presentation to the emergency  department, she appears diaphoretic and tachy- pneic. Her vital signs are as follows: blood pres- sure of 86/44 mm Hg, heart rate of 130 beats/min,     respiratory rate of 30 breaths/min, and oxygen satu- ration of 85% on room air. Cardiovascular examina- tion shows a regular tachycardia without murmurs,  rubs, or gallops. The lungs are clear to auscultation.  On extremity examination, there is swelling of her  left thigh with a positive Homanâ€™s sign. Chest CT  angiography confirms a saddle pulmonary embolus  with ongoing clot seen in the pelvic veins on the  left. Anticoagulation with unfractionated heparin is  administered. After a fluid bolus of 1 L, the patientâ€™s  blood pressure remains low at 88/50 mm Hg.  Echocardiogram demonstrates hypokinesis of the  right ventricle. On 100% non-rebreather mask, the  oxygen saturation is 92%. What is the next best step  in the management of this patient? A. Continue current management. B. Continue IV fluids at 500 mL/h for a total of 4 L of  fluid resuscitation. C. Refer for inferior vena cava filter placement and  continue current management. D. Refer for surgical embolectomy. E. Treat with dopamine and recombinant tissue plas- minogen activator, 100 mg IV.","The answer is E. (Chap. 22) This patient is presenting with massive pul- monary embolus (pulmonary embolism) with ongoing  hypotension, right ventricular dysfunction, and profound  hypoxemia requiring 100% oxygen. In this setting, con- tinuing with anticoagulation alone is inadequate, and  the patient should receive circulatory support with fibri- nolysis if there are no contraindications to therapy. The  major contraindications to fibrinolysis include hyperten- sion >180/110 mm Hg, known intracranial disease or  prior hemorrhagic stroke, recent surgery, or trauma. The  recommended fibrinolytic regimen is recombinant tissue   plasminogen activator (rTPA), 100 mg IV over 2 hours.  Heparin should be continued with the fibrinolytic to pre- vent a rebound hypercoagulable state with dissolution of the  clot. There is a 10% risk of major bleeding with fibrinolytic  therapy, with a 1â€“3% risk of intracranial hemorrhage.   The only indication approved by the U.S. Food and Drug  Administration for fibrinolysis in pulmonary embolism  is for massive pulmonary embolism presenting with life- threatening hypotension, right ventricular dysfunction, and  refractory hypoxemia. In submassive pulmonary embolism  presenting with preserved blood pressure and evidence of  right ventricular dysfunction on echocardiogram, the deci- sion to pursue fibrinolysis is made on a case-by-case basis.  In addition to fibrinolysis, the patient should also receive  circulatory support with vasopressors. Dopamine and  dobutamine are the vasopressors of choice for the treat- ment of shock in pulmonary embolism. Caution should be  taken with ongoing high-volume fluid administration, as  a poorly functioning right ventricle may be poorly toler- ant of additional fluids. Ongoing fluids may worsen right  ventricular ischemia and further dilate the right ventricle,  displacing the interventricular septum to the left to worsen  cardiac output and hypotension. If the patient had contra- indications to fibrinolysis and was unable to be stabilized  with vasopressor support, referral for surgical embolec- tomy should be considered. Referral for inferior vena cava  filter placement is not indicated at this time. The patient  should be stabilized hemodynamically as a first priority.  The indications for inferior vena cava filter placement are  active bleeding, precluding anticoagulation, and recurrent  deep-vein thrombosis on adequate anticoagulation.","E. Treat with dopamine and recombinant tissue plasminogen activator, 100 mg IV.

This patient is presenting with a massive pulmonary embolism and signs of hemodynamic instability, including hypotension and right ventricular dysfunction. Treatment with thrombolytic therapy, such as recombinant tissue plasminogen activator, is indicated in this situation to help dissolve the clot and improve hemodynamics. Dopamine can also be used to help support blood pressure in this setting. Continuing current management or IV fluids alone may not be sufficient in this case. Referral for surgical embolectomy or inferior vena cava filter placement may be considered if thrombolytic therapy is contraindicated or unsuccessful.",The next best step in the management of this patient would be to refer for surgical embolectomy.
67,"A 42-year-old woman presents to the emergency  department with acute onset of shortness of breath.  She recently had been to visit her parents out of state  and rode in a car for about 9 hours each way. Two  days ago, she developed mild calf pain and swelling,  but she thought that this was not unusual after having  been sitting with her legs dependent for the recent  trip. On arrival to the emergency department, she is  noted to be tachypneic. The vital signs are as follows:     blood pressure of 98/60 mm Hg, heart rate of 114  beats/min, respiratory rate of 28 breaths/min, oxygen  saturation of 92% on room air, and weight of 89 kg.  The lungs are clear bilaterally. There is pain in the  right calf with dorsiflexion of the foot, and the right  leg is more swollen compared with the left. An arterial  blood gas measurement shows a pH of 7.52, PCO2 25  mm Hg, and PO2 68 mm Hg. Kidney and liver func- tion are normal. A helical CT scan confirms a pulmo- nary embolus. All of the following agents can be used  alone as initial therapy in this patient EXCEPT: A. Enoxaparin 1 mg/kg SC twice daily B. Fondaparinux 7.5 mg SC once daily C. Tinzaparin 175 U/kg SC once daily D. Unfractionated heparin IV adjusted to maintain  activated partial thromboplastin time (aPTT) two to  three times the upper limit of normal E. Warfarin 7.5 mg PO once daily to maintain INR at 2â€“3  Review and Self-Assessment 739","The answer is E. (Chap. 22) Warfarin should not be used alone as ini- tial therapy for the treatment of venous thromboem- bolic disease (VTE) for two reasons. First, warfarin does  not achieve full anticoagulation for at least 5 days, as its  mechanism of action is to decrease the production of  vitamin Kâ€“dependent coagulation factors in the liver.  Second, a paradoxical reaction that promotes coagu- lation may also occur upon initiation of warfarin as it  also decreases the production of the vitamin Kâ€“depen- dent anticoagulants protein C and protein S, which  have shorter half-lives than the procoagulant factors.  For many years, unfractionated heparin delivered intra- venously was the treatment of choice for VTE. How- ever, it requires frequent monitoring of activated partial  thromboplastin time (aPTT) levels and hospitalization  until therapeutic international normalized ratio (INR)  is achieved with warfarin. There are now several safe  and effective alternatives to unfractionated heparin that  can be delivered SC. Low-molecular-weight heparins  (enoxaparin, tinzaparin) are fragments of unfraction- ated heparin with a lower molecular weight. These  compounds have a greater bioavailability, longer half- life, and more predictable onset of action. Their use in  renal insufficiency should be considered with  caution  because low-molecular-weight heparins are renally  cleared. Fondaparinux is a direct factor Xa inhibitor   that, like low-molecular-weight heparins, requires no   Review and Self-Assessment 772 monitoring of anticoagulant effects and has been demon- strated to be safe and effective in treating both deep-vein  thrombosis and pulmonary embolism.","E. Warfarin 7.5 mg PO once daily to maintain INR at 2-3

Warfarin is not typically used as initial therapy for a pulmonary embolism because it takes several days to reach therapeutic levels. Instead, initial therapy usually involves a parenteral anticoagulant such as enoxaparin, fondaparinux, or tinzaparin, or unfractionated heparin.",D. Unfractionated heparin IV adjusted to maintain activated partial thromboplastin time (aPTT) two to three times the upper limit of normal
68,"In general, which of the following is the greatest  risk factor for the development of cancer? A. Age B. Alcohol use C. Cigarette smoking D. Female sex E. Obesity","The answer is A.  (Chap. 26) Although cigarette smoking is the greatest  modifiable risk factor for the development of cancer, the  most significant risk factor for cancer in general is age.  Two-thirds of all cancers are diagnosed in individuals  older than 65 years, and the risk of developing cancer  between the ages of 60 and 79 years is one in three in  men and one in five in women. In contrast, the risk of  cancer between birth and age 49 years is one in 70 for  boys and men and one in 48 for girls and women. Over- all, men have a slightly greater risk of developing cancer  than women (44% vs 38% lifetime risk).",A. Age,A. Age
69,"Among women younger than 60 years of age who  die from cancer, which of the following is the most  common primary organ of origin? A. Breast B. Cervix C. Colon D. Bone marrow E. Lung","The answer is A.  (Chap. 26) The cause of cancer death differs across the life  span. In women who are younger than 20 years of age,  the largest cause of cancer death is leukemia. Between the  ages of 20 and 59 years, breast cancer becomes the leading  cause of cancer death. However, lung cancer is the lead- ing cause of cancer death after the age of 60 years and is  overall the number one cause of cancer death in women.",A. Breast,A. Breast
70,"A 68-year-old woman is diagnosed with stage II breast  cancer. She has a history of severe chronic obstructive  pulmonary disease with an FEV1 of 32% predicted,  coronary artery disease with prior stenting of the left  anterior descending artery, peripheral vascular disease,  and obesity. She continues to smoke 1 to 2 packs  of cigarettes every day. She requires oxygen at 2 L/ min continuously and is functionally quite limited.  She currently is able to attend to all of her activities  of daily living, including showering and dressing. She  retired from her work as a waitress 10 years previously  because of her lung disease. At home, she does attend  to some of the household chores but is not able to  use a vacuum. She goes out once or twice weekly  to run typical errands and drives. She feels short of  breath with most of these activities and often uses a  motorized chair when out and about. How would  you categorize her performance status and prognosis  for treatment taking this into consideration? A. She has an Eastern Cooperative Oncology Group  (ECOG) grade of 1 and has a good prognosis with  appropriate therapy. B. She has an ECOG grade of 2 and has a good prog- nosis with appropriate therapy. C. She has an ECOG grade of 3 and has a good prog- nosis with appropriate therapy. D. She has an ECOG grade of 3 and has a poor progno- sis despite therapy. E. She has an ECOG grade of 4 and has a poor progno- sis that precludes therapy.","The answer is B.  (Chap. 26) Although tumor burden is certainly a major  factor in determining cancer outcomes, it is also important  to consider the functional status of the patient when con- sidering the therapeutic plan. The physiologic stresses of  undergoing surgical interventions, radiation therapy, and  chemotherapy can exhaust the limited reserves of a patient  with multiple medical problems. It is clearly difficult to  adequately measure the physiologic reserves of a patient,  and most oncologists use performance status measures as a  surrogate. Two of the most commonly used measures of  performance status are the Eastern Cooperative Oncology  Group (ECOG) and Karnofsky performance status. The  ECOG scale provides a grade between 0 (fully active) and  5 (dead). Most patients are considered to have adequate  reserve for undergoing treatment if the performance sta- tus is 0 to 2, with a grade 2 indicating someone who is  ambulatory and capable of all self-care but unable carry out  work activities. These individuals are up and about >50%  of waking hours. A grade 3 performance score indicates  someone who is capable of only limited self-care and is  confined to a bed or chair >50% of waking hours. The  Karnofsky score ranges from 0 (dead) to 100 (normal) and  is graded at 10-point intervals. A Karnofsky score of <70  also indicates someone with poor performance status.","B. She has an ECOG grade of 2 and has a good prognosis with appropriate therapy. 

Despite her significant comorbidities and functional limitations, the fact that she is still able to attend to her activities of daily living and go out for errands suggests that she may still benefit from treatment for her breast cancer. With appropriate therapy and support, she may have a good prognosis.",She has an ECOG grade of 3 and has a good prognosis with appropriate therapy.
71,Which of the following tumor markers is appro- priately matched with the cell type cancer and can  be followed during treatment as an adjunct to assess  disease burden? A. CA-125â€”Colon cancer B. Calcitoninâ€”Follicular carcinoma of the thyroid C. CD30â€”Hairy cell leukemia D. Human chorionic gonadotropinâ€”Gestational   trophoblastic disease E. Neuron-specific enolaseâ€”Nonâ€“small cell carcinoma  of the lung,"The answer is D.  (Chap. 26) Tumor markers are proteins produced by  tumor cells that can be measured in the serum or urine.  These markers are neither sensitive nor specific enough  to be useful for diagnosis or screening of cancer. How- ever, in an individual with a known malignancy, rising  or falling levels may be helpful for determining disease  activity and response to therapy. Common tumor mark- ers with associated diseases are shown in Table 26-6.   Of the tumor pairs listed, only human chorionic gonad- otropin is correctly paired with its association with ges- tational trophoblastic disease.","B. Calcitoninâ€”Follicular carcinoma of the thyroid

Calcitonin is a tumor marker that is associated with follicular carcinoma of the thyroid. It can be followed during treatment to assess disease burden.",B. Calcitonin—Follicular carcinoma of the thyroid
72,"Which of the following statements regarding cur- rent understanding of the genetic changes that must  occur for a cell to become cancerous is TRUE? A. Caretaker genes determine when a cell enters into a  replicative phase and must acquire mutations to   allow unregulated cell growth. B. For a cell to become cancerous, it is estimated that a  minimum of 20 mutations must occur. C. For a tumor suppressor gene to become inactivated  and allow unregulated cell growth, both copies of  the gene must have mutations. D. Oncogenes act in an autosomal recessive fashion. E. Within a cancer, there are generally two to five cells  of origin.","The answer is C.  (Chap. 24) Cancer occurs when a single cell acquires a  series of genetic mutations that allow the cell to prolifer- ate without regulation. The clonal nature of cancer is a  key feature that allows a malignancy to be differentiated  from hyperplasia, in which polyclonality is seen. Sig- nificant research has occurred over the past decades that  allows us to understand the genetic causes of cancer in  greater detail, and new research is providing a growing  knowledge of cancer of any number of cell types with  the hopes that future therapies can be personalized to  the mutations that are present in the individual cancer.  Based on laboratory research, it is thought that five to 10  mutations are needed for a cell to transform into a malig- nant cancer, although often many more mutations can  be seen. The major genes involved in cancer are onco- genes and tumor-suppressor genes. Both of these types  of genes contribute to the malignant phenotype by lead- ing to unregulated cell division or the ability to avoid  programmed cell death. Oncogenes require only a single  mutation to become activated and act in an autosomal  dominant fashion. In contrast, tumor-suppressor genes  require both copies of the allele to become inactivated  to lose their protective effects against unregulated cell  growth. Caretaker genes are a subset of tumor-suppressor   genes and have no direct effect on cell growth. These  genes function to help the cell protect the integrity of its  genome by repairing DNA defects that occur.","C. For a tumor suppressor gene to become inactivated and allow unregulated cell growth, both copies of the gene must have mutations.","C. For a tumor suppressor gene to become inactivated and allow unregulated cell growth, both copies of the gene must have mutations."
73,All the following conditions are associated with an  increased incidence of cancer EXCEPT: A. Down syndrome B. Fanconiâ€™s anemia C. von Hippelâ€“Lindau syndrome D. Neurofibromatosis E. Fragile X syndrome,"The answer is E.  (Chap. 24) A small proportion of cancers occur in  patients with a genetic predisposition. Roughly 100  syndromes of familial cancer have been reported. Rec- ognition allows for genetic counseling and increased  cancer surveillance. Down syndrome, or trisomy 21, is  characterized clinically by a variety of features, including  moderate to severe learning disability, facial and muscu- loskeletal deformities, duodenal atresia, congenital heart  defects, and an increased risk of acute leukemia. Fanco- niâ€™s anemia is a condition that is associated with defects in  DNA repair. There is a higher incidence of cancer, with  leukemia and myelodysplasia being the most common  cancers. von Hippelâ€“Lindau syndrome is associated with  hemangioblastomas, renal cysts, pancreatic cysts and car- cinomas, and renal cell cancer. Neurofibromatosis (NF)  types I and II are both associated with increased tumor  formation. NF II is more associated with schwannoma.   Review and Self-Assessment 773 Both carry a risk of malignant peripheral nerve sheath  tumors. Fragile X is a condition associated with chromo- somal instability of the X chromosome. These patients  have mental retardation; typical morphologic features,  including macro-orchidism and prognathia; behavioral  problems; and occasionally seizures. Increased cancer  incidence has not been described.",E. Fragile X syndrome,A. Down syndrome
74,Cancer therapy is increasingly personalized with  targeted small molecule therapies that are directed  against specific signal transduction pathways that  are commonly activated in a particular cell type of  cancer. Which of the following therapies is cor- rectly matched with its molecular target? A. Bevacizumabâ€”EGFR B. Erlotinibâ€”VEGF C. Imatinibâ€”Bcr-Abl D. Rituximabâ€”CD45 E. Sunitinibâ€”RAF,"The answer is C.  (Chap. 25) Cancer treatment is undergoing a revolu- tion with an increasing number of therapies that are  directed specifically against signal transduction path- ways. These pathways are often activated in cancer cells  and contribute to the malignant phenotype of the cell.  One commonly affected signal transduction pathway is  that of tyrosine kinase. Typically, tyrosine kinase is only  active for a very short period. However, in malignant  cells, the tyrosine kinase pathway can be constitutively  activated through mutation, gene amplification, or gene  translocation. Small molecule therapy that can inhibit a  tyrosine kinase pathway can lead to decreased prolifera- tion of malignant cells, decreased survival, and impeded  angiogenesis. Examples of targeted small molecule thera- pies and their molecular targets can be found in Table  25-2. These include drugs as well as monoclonal anti- bodies. Among the first small molecule therapies to be  used in malignancy was imatinib, which has dramatically  changed therapy in chronic myeloid leukemia. This drug  targets the activated tyrosine kinase pathway activated by  the Bcr-Abl mutation that is present in this disease.  Bevacizumab is a monoclonal antibody targeted against  pathways in vascular endothelial growth factor (VEGF)  and is used in lung and colon cancer. It had previously  been used for breast cancer, but the U.S. Food and Drug  Administration has recommended against its use in breast  cancer as of November 2011 (www.fda.gov, accessed  December 1, 2011). Erlotinib and gefitinib are active  against tumors carrying mutations of the epidermal growth  factor receptor, especially in lung cancer. Rituximab has  been used for many years and is an anti-CD20. Its most  common use is in B-cell lymphomas and leukemias, but  it is undergoing trials for use in autoimmune disease as  well. Sunitinib and sorafenib both have activity against a  large number of kinases. Whereas sunitinib targets c-Kit,  VEGFR-2, PDGFR-Î², and Fit-3, sorafenib targets RAF,  VEGFR-2, PDGFR-Î±/Î², Fit-3, and c-Kit.","C. Imatinib - Bcr-Abl

Imatinib is a targeted small molecule therapy that is directed against the Bcr-Abl fusion protein, which is commonly activated in chronic myeloid leukemia (CML).",C. Imatinib - Bcr-Abl
75,Which of the following defines the term epigenetics? A. Changes that alter the pattern of gene expression  caused by mutations in the DNA code B. Changes that alter the pattern of gene expression  that persist across at least one cell division but are not  caused by changes in the DNA code  Review and Self-Assessment 740 C. Irreversible changes of the chromatin structure that  regulates gene transcription and cell proliferation  without permanent alteration of the DNA code,"The answer is B.  (Chap. 25) Epigenetics is a term that refers to changes in  the chromatin structure of the cell that lead to altera- tions in gene expression without underlying changes in  the DNA code. As such, these changes are potentially  reversible and may be targets for cancer therapy. An  example of an important epigenetic change is hyper- methylation of promoter regions (so-called CpG islands)  in tumor-suppressor genes that lead to the inactivation of  one allele of the gene.",B. Changes that alter the pattern of gene expression that persist across at least one cell division but are not caused by changes in the DNA code,B. Changes that alter the pattern of gene expression that persist across at least one cell division but are not caused by changes in the DNA code
