Question,Answer,Explanation
"Resolution of inflammation caused by - a. TNF Alfa, IL-1 and CRP",Ans. (d) Activated Macrophages,(Ref: R 9th/pg 86-87) 70.
Histamine causes all except,Ans. (d) Anaphylaxis,"(Ref: Robbins 9th/pg 86-87, 105, Immunology: Mucosal and  Body Surface Defences, 4.8)   Transforming growth factor-? (TGF-?) is the most  important cytokine for the synthesis and deposition of  connective tissue proteins. Other functions: Angiogenesis.  Anti-inflammatory cytokine   Up-regulation of tissue inhibitor of metalloproteinas- es-3 gene expression is done by TGF-beta in articular  chondrocytes 71."
C in CRP stands for -,Ans. (d) IL-1,"(Ref: Curr. Opin. Immunol. 23 (5): 598?604, Harrison 18th  ed:2666)   Interleukin-2 (IL-2) SubfamilyQ:  ? Interleukins: IL-2, IL-3, IL-4, IL-5, IL-6, IL-7, IL-9, IL-11,  IL-12, IL-13, IL-15, IL-21, IL-23  ? Not called interleukins: Colony-stimulating factor-1  (CSF1), granulocyte?macrophage colony-stimulating  factor (CSF2) erythropoietin (EPO), thrombopoietin  (THPO), leukocyte inhibitory factor (LIF)  ? Not interleukins: Growth hormone (GH1), prolactin  (PRL), leptin (LEP), cytokine receptor-like factor 1Q  (CLC or CLF)  ? Interferon (IFN) subfamily: IFN-?, IFN-‡  ? IL-10 subfamilyQ: IL-10, IL-19, IL-20, IL-22, IL-24 and  IL-26 IL-1 does not belong to IL2 family 72."
Endogenous chemoattractants are all except -,Ans. (c) IL 12,"(Ref: J Infect Dis. (1999) 179 (Supplement 2): S294-S304. doi:  10.1086/513856, Harrison 18th ed:2666) 73."
The following is not a chemoattactant in acute inflammation,Ans. (c) C3b,"(Ref: Robbins 9th/pg 83; 8th/pg 57)   Anaphylatoxins-C3a, C5a, C4a. 74."
The following is not a pyrogenic cytokine,Ans. (b) Bronchodilation,"(Ref: R 9th/pg 89; 8th/pg 59)   PAF  ? Produced  by:  platelets,  basophils,  mast  cells,  neutrophils, macrophages, and endothelial cells  ? Functions: platelet aggregation, vasoconstriction and  bronchoconstriction.Q   ? At low concentrations it induces vasodilation and  increased venular permeability  ? Transmits signals between cells 75."
Anti-inflammatory cytokine,Ans. (b) Kinins,"(Ref: Robbins 9th/pg 82; 8th/pg 57) Plasma Derived Cell Derived Fibrin split products Histamine Kinins (bradykinin) Serotonin C3a, C5a Prostaglandins, Leukotrienes Nitric oxide Platelet-activating factor 76."
All are major cytokines in chronic inflammation except,Ans. (b) IL 11,"(Ref: Robbins 9th/pg 86-87)   IL-6, tumour necrosis factor-alpha (TNF-alpha) and IL-1 are  thought to be the key mediators of the acute phase response  (Ref: Clin Exp Immunol. 1995 Oct; 102(1): 217?223.)   Coming to option b: 81 Chapter 3 ? Inflammation and Repair Answers with Explanations IL-11 gp 130 Bone  marrow  stromal  cells Megakaryocytes,  Induces  megakaryocyte  colony  formationQ  77."
The following enzyme is otherwise called TACE,Ans. (d) 1L-10,"(Ref: Jolanta Jura and Aleksander Koj ?chapter 3)   Anti inflammatory cytokines   IL-10, IL-13, 1L-4 and TGF-?   Please note, both IL-4 and IL-6 are pro as well as anti  inflammatory cytokines  78."
Most important cytokine for the synthesis and deposition of connective tissue proteins,Ans. (d) IL-5  79.,No explanation provided.
Angiogenesis is stimulated by all except,"Ans. (a, b, c, e); a. IL-2; b. IL-6; c. TNF-alpha;   e. Interferons","(Ref: Fundamental immunology by William E Paul :1030,  chapter 3) 80."
TNF and IL1 are produced by,"Ans. (a, b, e,); a. Haptoglobin; b. C-reactive protein;   e. Fibrinogen",(Ref: http://www.uptodate.com/contents/acute-phase- reactants)   Acute phase reactants are CRP Ferritin Fibrinogen Hepcidin Serum Amyloid A Alpha-1 antitrypsin Haptoglobulin Ceruloplasmin Procalcitonin 81.
Which is not the action of TGF-? a. Anti-inflammatory,Ans. (b) Bronchodilatation,"(Ref: Robbins 9th/pg 65, 89)   Functions of bradykinin:  ? Increases vascular permeability, vasodilation  ? Smooth muscle contraction and pain when injected  into the skin. 82."
Which of the following doesn?t belong to Interleukin-2,Ans. (c) Myeloperoxidase,(Ref: Robbins 9th/pg 83; 8th/pg 57)   MPO- lysosomal protein stored in azurophilic granules of  the neutrophil. 83.
Which of the following is not endogenous pyrogens,"Ans. (c) TNF Alfa, IL 10 and IL1 receptor antagonist","(Ref: Fundamental immunology by William E Paul:1030,  chapter 3)   Ans none but if to mark one, go for c. 2 options in c are  correct and 1 wrong   Resolution of infection is by:  ? IL10- anti inflammatory cytokine?CORRECT  ? IL1- pro inflammatory cytokine and IL1 receptor antago- nist will cause resolution of inflammation?CORRECT  ? TNF- pro inflammatory cytokine?WRONG 84."
Which of the following is NOT an anaphylatoxin,Ans. (d) Platelet aggregation,"(Ref: R 9th/pg 82; 8th/pg 57) Mediator Characteristics Histamine  ? Formed from the amino acid ?histidine?  ? Sources: Mast cells (richest source), platelets  and basophils   ? Causes vasodilation (but vasoconstriction  of large arteries), increased permeability  (immediate transient response) &  bronchoconstriction 85."
What is not caused by platelet activating factor,Ans. (c) Capsular polysaccharide of pneumococcus,"(Ref: Essential of pathology, 8th ed: 781) 86."
True statement about alternative macrophage activation,Ans. (b) Integrins,(Ref: Robbins 9th/pg 77; 8th/pg 50) 87.
Tissue macrophages are called,Ans. (b) Interleukin 2,(Ref: Robbins 9th/pg 85-86; 8th/pg 58)   All are Pro inflammatory Cytokines but if to mark one go for  b. Since all other 3 are major Pro inflammatory Cytokines. 88.
Biopsy of gastronemius muscle in an asymptomatic patient reveals non-caseating granuloma. Diagnosis,Ans. (c) Fluid in infected by destructive organism,"(Ref: Robbins 9th/pg 90)   Serous Inflammation   A pattern of acute inflammation   Marked by the exudation of cell poor fluid into spaces  created by cell injury or into body cavities lined by the  peritoneum, pleura, or pericardium   Typically, the fluid in serous inflammation is not infected  by destructive organisms    Does not contain large numbers of leukocytes 89."
The principle cell in granuloma,Ans. (c) Serous inflammation,(Ref: Robbins 9th/pg 90) 90.
The following factor stimulate angiogenesis,Ans. (c) Catarrhal inflammation,(Ref: Chandrasoma taylor: 3ed: 45)   Catarrhal inflammation  ? Commonest type of inflammationQ  ? Increased mucus secretion  ? Seen in common cold 91.
Durck granuloma is seen in,Ans. (a) Necrotizing granulomatous inflammation,(Ref: Robbins 9th ed/pg 98) 92.
Hallmark of chronic inflammation,Ans. (a) Cat scratch disease,(Ref: Anderson 10th/pg 582) 93.
Granulomatous inflammation seen in A/E,Ans. (b) Neutrophil,(Ref: Robbins 9th/pg 71; 8th/pg 44)   This is a case of acute appendicitis   The principal inflammatory cell in this case of acute  appendicitis is the neutrophil. Complete Review of Pathology 82 Answers with Explanations 94.
Stellate granuloma is seen in,Ans. (d) Main function is in tissue repair,(Ref: Robbins 9th/pg 94) 95.
Atherosclerosis is a type of,Ans. (b) Histiocytes,(Ref: Anderson 10th ed pg 583)  ? Macrophages  are  tissue  cells  derived  from  hematopoietic stem cells in the bone marrow and  from progenitors in the embryonic yolk sac and fetal  liver during early developmentQ  ? Circulating cells of this lineage are known as monocytes.    Tissue macrophages are called histiocytes   Activated macrophages are called epithelioid cells 96.
Macrophages are converted into epithelioid cells by a. IFN? b. IL2,Ans. (c) Sarcoidosis,(Ref: Robbins 9th/pg 94; 8th/pg 71)   Leprosy and TB- Caseating granuloma   Syphilis- plasma cell rich granuloma (gumma)   Sarcoidosis- non caseating granuloma 97.
True about neutrophils role in wound healing is/are,Ans. (b) Epithelioid cell,(Ref: Anderson 10th ed pg 583)  ? Macrophages (also known as histiocytes) are the cells  that define a granuloma  ? The macrophages in granulomas are often referred to as  ?epithelioid?  ? Epithelioid  macrophages  differ  from  ordinary  macrophages in that they have elongated nuclei that  often resemble the sole of a slipper or shoe.  ? These changes are thought to be a consequence of  ?activation? of the macrophage by the offending  antigen.  98.
Pro inflammatory Cytokines include all of the following except - a. Interleukin 1 b. Interleukin 2 c. Interleukin 6 d. TNF- Alpha MORPHOLOGIC PATTERNS OF ACUTE INFLAMMATION 88. All are true about serous inflammation except,Ans. (a) Integrins,"(Ref: Angiogenesis: An Integrative Approach from Science  to Medicine, pg 123; Angiogenesis molecules have been  described at Ans no 82. Also students must know anti  angiogenesis molecules)   Antiangiogenic molecules are 1. Endostation 2. Thrombospondin 3. Tumstation 4. Restin 5. Endorepellin 6. Fibulin 5 7. Canstatin 99."
Exudation of cell-poor fluid that is not infected by destructive organisms is characteristic of,Ans. (d) Cerebral malaria,"(Ref: Malaria - Page 76)   In malignant cerebral malaria caused by Plasmodium  falciparum, brain vessels are plugged with parasitized red  cells, causing ring hemorrhage which is accompanied by  necrosis of surrounding parenchyma.   The damage leads to formation of Durck?s granuloma ? collec- tion of microglial cells surrounding area of demylienation 100."
Commonest variety of acute inflammation is,Ans. (d) Tissue destruction,(Ref: Robbins 9th/pg 494) 101.
Histological picture of a lesion excised from the right cervical region is shown below. What is your diagnosis,Ans. (d) AIDS,(Ref: Robbins 9th/pg 494; 8th/pg 500) 102.
Stellate Granuloma are seen in,Ans. (d) Cat-scratch disease,(Ref: Robbins 9th/pg 494) 103.
9-year-old boy is admitted with acute abdominal pain localized in the right illac fossa. He is pyrexial with localized peritonism in RIF. The causative cell involved here,Ans. (a) Chronic inflammation,(Ref: Robbins 9th/pg 494)   Atherosclerosis as a chronic inflammatory and healing  response of the arterial wall to endothelial injury. 104.
Find the false statement about wound healing,Ans. (a) IFN?,(Ref: Anderson 10th ed pg 583)  ? Epithelioid  macrophages  differ  from  ordinary  macrophages in that they have elongated nuclei that  often resemble the sole of a slipper or shoe.  ? IFN-? is important in activating macrophages and trans- forming them into epithelioid cells and multinucleate  giant cells 105.
Which of the following growth factor in not involved in tissue repair,"Ans. (b, d, e); b. They are involved in early part of  wound healing; d. They produce proteolytic enzymes;  e. Appear within 24 hours on wound margin",(Ref: Robbin?s 9th ed/pg. 107) 106.
"In a sutured incised wound, re-epithelialization is complete by",Ans. (c) Type 3  The early granulation tissue mainly has collagen type 3 >1 107.,No explanation provided.
Granulation tissue appear at the site of injury by,Ans. (a) TGF-B,(Ref: Robbin?s 9th ed/pg. 107) 108.
Collagen fibres bridge the wound area by,Ans. (a) Platelets,(Ref: Robbin?s 9th ed/pg. 104)   Ist phase is clot form action which involves platelets 109.
"When suture are removed from an incisional surgical wound at the end of one week, the wound strength of the wounded skin when compared to unwounded skin is approximately",Ans. (b) Myofibroblasts  ? Permanent wound contraction requires the action  of myofibroblastsQ seen in healing by secondary  intentionQ  ? Myofibroblasts are altered fibroblasts that have ultra- structural characteristics of smooth muscle cells. 110.,No explanation provided.
Myofibroblasts are seen in,Ans. (d) FGF,"(Ref: Robbin?s 9th ed/pg. 104)  ? Fibroblast growth factors (FGFs), mainly FGF-2,  stimulates the proliferation of endothelial cells. It also  promotes the migration of macrophages and fibroblasts  to the damaged area, and stimulates epithelial cell  migration to cover epidermal wounds. 83 Chapter 3 ? Inflammation and Repair Answers with Explanations  ? PDGF-recruits smooth muscle cells  ? TGF-? suppresses endothelial proliferation and migra- tion, and enhances the production of ECM proteins.  ? Vascular endothelial growth factors (VEGFs), mainly  VEGF-A, stimulates both migration and proliferation of  endothelial cells 111."
Wound contraction is due to,Ans. (d) 24 -72 hours,(Ref: Robbin?s 9th ed/Pg 107) 112.
Correct sequence of phases of wound injury,Ans. (b) Myofibroblasts,(Ref: R 9th/pg 108; 8th/pg 106) 113.
Primary intentional healing which is true,Ans. (a) Platelets,(Ref: Robbin?s 9th ed/pg 107)   The earliest feature in wound repair is Presence of blood  clot in the incision. This clot is formed by the initial effort  of platelets and then the coagulation factors. 114.
Formation of granulation tissue is due to a. Thrombosed vessels,Ans. (d) Clot formation,"(Ref: Robbin?s 9th ed/pg 106)   Factors Impairing Healing   Infection   Diabetes   protein deficiency, vitamin C deficiency   Glucocorticoids (steroids)   Mechanical factors such as increased local pressure or  torsion may cause wounds to dehisce   Poor perfusion, due either to arteriosclerosis and diabetes  or to obstructed venous drainage (e.g., in varicose veins)   Foreign bodies   Blood clot formation is the earliest event in wound repair 115."
A 12-year-old boy had a cut in his forearm 4 days ago. Now the bleeding has been stopped due to granulation tissue formation. While taking a skin biopsy a part of the granulation tissue was also included in the specimen. The histology of granulation tissue is shown below. Which type of collagen is found in this granulation tissue,Ans. (a) Angiogenesis,"(Ref: Robbins 9th/pg 103; 8th/pg 101)   Three phases of wound healing:  ? Inflammation (early & late)- option b, c, d  ? Granulation tissue formation & re-epithelialization- op- tion a  ? Wound contraction, ECM deposition & remodeling 116."
Cytokine involved in epithelial tissue migration and granulation tissue in healing,Ans. (c) In remodeling type III collagen replaces type I  collagen,(Ref: Robbins 9th/pg 107; 8th/pg 102-5)   In remodeling type I collagen replaces type III collagen 117.
Cell involved in the immediate phase of wound healing,Ans. (a) Abundant granulation tissue to fill the wound  gap,(Ref: Robbins 9th/pg 108; 8th/pg 106) 118.
Scar contraction is caused by,"Ans. (d) After 2 months of wound healing, the increase  in tensile strength is due to excess collagen synthesis","(Ref: Robbins 9th/pg 108; 8th/pg 106)   Option  a-true-Three  phases  of  wound  healing- Inflammation (early & late), Granulation tissue formation &   re-epithelialization  and  Wound  contraction,  ECM  deposition & remodeling  ? Strength never reaches 100%Q Option d- Te recovery  of tensile strength results from the excess of collagen  ? Synthesis over collagen degradation during the first 2  months of healing, and, at later times, from structural  modifications  of  collagen  fibers  (cross-linking,  increased fiber size) option D. 119."
Which of the following promotes growth of fibroblasts and recruitment of macrophages in case of angiogenesis process of wound healing,Ans. NONE > TNF,"(Ref: Robbins 9th/pg 107)   In Granulation tissue formation phase: Migration of  fibroblasts to the site of injury is driven by chemokines,  TNF, PDGF, TGF-?, and FGF. Their subsequent proliferation  is triggered by multiple growth factors, including   PDGF, EGF, TGF-?, and FGF, and the cytokines IL-1 and  TNF. 120."
"After an incised wound, new collagen fibrils are seen along with growing epithelium. The age of the wound is",Ans. (c) 5 days,(Ref: Robbins 9th/pg 107; 8th/pg 102-5) 121.
Wound contraction occurs by the action of,Ans. (b) 24?72 hours,(Ref: R 9th/pg 107; 8th/pg 102-5) 122.
Cell involved in the immediate phase of wound healing,Ans. (d) 5?7 days,(Ref: Robbins 9th/pg 107) 123.
The following factors impair wound healing except,Ans. (b) 10%,(Ref: Robbins 9th/pg 108; 8th/pg 106) 124.
Not seen in the inflammatory stage of wound healing a. Angiogenesis,Ans. (a) Healing wounds,(Ref: 9th/pg 108) 125.
Find the false statement regarding wound healing,Ans. (c) Myofibroblast,(Ref: R 9th/pg 108; 8th/pg 106) 126.
Not true regarding primary union,Ans.  (b) Inflammation?Proliferation?Maturation? Remodeling,(Ref: Robbins 9th/pg 108; 8th/pg 106) 127.
Edema is due to,Ans. (a) Lymphatic obstruction,(Ref: Robbins 9th/pg  114) 2.
Liver biopsy in chronic RHF shows,Ans. (d) Congestion,(Ref: Robbins 9th/pg 115; 8th/pg  113) 3.
Heart failure cells are,Ans.  (c) Hemosiderin laden macrophages,(Ref: Robbin?s 9th/pg 115)   Chronic pulmonary congestion: shows Hemosiderin- laden macrophages (heart failure cells)Q 4.
The given figure shows which of the following,"Ans. (c) Red areas are necrotic areas near central vein,  white areas are viable, fibrotic periportal area","(Ref: Robbin?s 9th/129)   The given picture shows Chronic passive hepatic congestion,  the centrilobular regions are red-brown & slightly depressed  (because of cell death) & are prominently visible against  surrounding zones of uncongested tan liver (nutmeg liver). 5."
Nutmeg liver seen in,Ans. (b) Chronic venous congestion,(Ref: R 9th/ 129) 6.
Heart failure cells are seen in,Ans. (b) Lungs,(Ref: Robbin?s 9th/pg 115; 8th/pg 113) 7.
Edema occurs when plasma protein level is below,Ans. (c) 5 g/dL,(Ref: Harshmohan 5th pg 97)   When total plasma proteins <5 gm/dl (normal 6-8 gm/dl) or  albumin <2.5 gm/dl (normal 3.5-5 gm/dl) edema takes place 8.
Which of the following has a major role in thrombus formation,Ans.  (a) Endothelial injury (Refer to answer 12) 9.,No explanation provided.
All the following are features of arterial thrombus except,Ans. (d) Grows in an anterograde manner from the  point of attachment,(Ref: Robbins 9th/pg 122; 8th/pg 121) 10.
Lines of Zahn are seen in,"Ans. (a, c, d, e) a. Antemortem clots; c. coralline  thrombus; d. Line of Zahn are due to alternate pale  layers of platelets with fibrin and darker layers with  more RBCs; e. Lines of Zahn are thrombi (both arterial  and venous) with laminations","(Ref: Robbins 9th/pg 122; 8th/pg 121)  ? Thrombi (both arterial & venous)Q have laminations,  called line of ZahnQ   ? Line of Zahn are due to alternate pale layers of platelets  with fibrin & darker layers with more RBCs.   ? These lines distinguish antemortem clots from the  bland non-laminated clots that occur post-mortem  ? In veins thrombi form coral-like system with framework  of platelets, fibrin and trapped white blood cells this is a  coralline thrombus. Lines of zahn are seen in this. 11."
True about thrombus formation,Ans. (b) Venous thrombus grow in direction toward  heart,(Ref: Robbins 9th/pg 122; 8th/pg 121) 12.
Virchow?s triad for thrombosis include all EXCEPT,Ans. (c) Platelet aggregation,(Ref: Robbin?s 9th/pg 122) 13.
"All are predisposing factors of Deep Vein thrombosis, except",Ans. (d) Hyperlipidemia,(Ref: R 9th/pg 122; 8th/pg 121) 14.
"All are hypercoagulable states, except",Ans. (d) Polycythemia,(Ref: Robbin?s 9th/pg 122; 8th/pg 121)   Polycythemia is cause of hyperviscosity and not hyperco- agulability 15.
Which of the following DOES NOT present with recurrent episodes of upper limb thrombosis,Ans. (c) Osteosarcoma,(Ref: Robbin?s 8th/pg 673)   Cancers causing thrombosis Pancreas Acute promyelocytic  leukemia Breast Brain Lung Stomach Prostate   Peripheral venous thrombosis with visceral carcinoma  esp pancreatic carcinoma is called trousseau syndrome or  migratory thrombophlebitis. 16.
Both arterial and venous thrombosis occur in,"Ans. (a, c); a. Antiphospholipid antibodies;   c. Hyperhomocysteinemia","(Ref: Harrison 17th pg 367)   Risk factor for thrombosis ARTERIAL + VENOUS  Inherited Homocystinuria, Dysfibrinogenemia Acquired  ? Cancer  ? Disseminated intravascular  coagulation  ? Heparin-induced  thrombocytopenia   ? Antiphospholipid antibody  syndrome  ? PNH, TTP  ? ET (essential thrombocythemia)  ? PV (polycythemia vera) Inherited + acquired Hyperhomocystienemia 17."
Hypercoagulability due to defective factor V gene is called a. Lisbon mutation,"Ans. (b) Leiden mutation Ref: Robbins 9th/pg 122; 8th/pg 121  ? Factor V mutation (called as leiden mutation, after the  city in the Netherlands where it was discovered) is most  important cause of primary hypercoagulability.  Answers with Explanations Complete Review of Pathology 98 Answers with Explanations  ? The mutation results in a glutamine to arginine  substitution at position 506 that renders factor V  resistant to cleavage by protein C. 18.",No explanation provided.
Patient after trauma has respiratory discomfort. Ventilation tried but not helpful histopath of lung given.,Ans. (c) FAT embolism,(Ref: Robbin?s 9th/pg/130) 19.
Least affected organ in arterial thromboembolism is,Ans. (a) Liver,"(Ref: Robbins 9th/pg 127; 8th/pg 126, MD Guidelines-Arterial  Embolism and Thrombosis by Presley Reed, MD)   Arterial emboli often occur in the legs and feet. Some may  occur in the brain, or heart.    Less common sites include the Liver, intestines, and eyes 20."
Minimum quantity of air in pulmonary circulation to cause clinical effects,Ans. (c) 100 mL,"(Ref: Robbins 9th/pg 127; 8th/pg 126)  ? >100 cc, is necessary to produce a clinical effect in the  pulmonary circulation  21."
The most common source of embolism,Ans. (a) DVT,(Ref: Robbins 9th/pg 127; 8th/pg 126)  ? MC cause of venous embolism is DVT  ? Most arise in the deep leg veins above the level of the  knee.Q 22.
White infarcts are seen in all the following organs except,Ans. (a) Lung,"(Ref: Robbins 9th/pg 129; 8th/pg 128)   A. Red infarct- Lung, Ovary, Intestine   B. White infact ? kidney, heart, spleen and brain   Liver infarctions are rare because of liver's dual blood  supply. Its infarction is described as dichotomic, i.e. it can  show overlap between red to white infarct. 23."
Red infarct is seen in,Ans. (a) Lung,(Ref: Robbin?s 9th/pg 129; 8th/pg 128) 24.
Red infarct occur in,"Ans. (a, c, d) a. In tissues with dual circulations;   c. Organs which are previously congested; d. Organs  with loose tissue",(Ref: Robbins 9th/pg 129; 8th/pg 128) 25.
White infarct is seen in,Ans. (c) Kidney,(Ref: Robbins 9th/pg 129; 8th/pg 128) 26.
Pale infarcts are seen at all of the following sites except,Ans. (d) Lung,(Ref: Robbin?s 9th/pg 129; 8th/pg 128) 27.
Endothelium activation refers to,Ans. (d) Increased expression of adhesion molecules  for leukocyte recruitment,(Ref: Thromb Res 123 (Suppl 4): S30?4)   Endothelial activation  is  a  proinflammatory  and  procoagulant state of the endothelial cells lining the lumen  of blood vessels. It is most characterized by Increased  expression of adhesion molecules for leukocyte  recruitment  28.
Septic Shock is due to,Ans. (d) All of the above,(Ref: R 9th/pg 131-132; 8th/pg  131) 29.
MC endogenous pyrogen and shock manifestation are,Ans. (d) TNF alpha,(Ref: R 9th/pg 131-132; 8th/pg 131) 30.
Procalcitonin is used as a marker for,Ans. (a) Sepsis,(Ref: Critical care forum.com)  ? Measurement of procalcitonin can be used as a marker  of severe sepsis caused by bacteria and generally grades  well with the degree of sepsis. 31.
Endotoxin shock is initiated by,Ans. (d) Cytokines action,(Ref: Robbin?s 9th/pg 131-132) 32.
In cornea stem cell present at,Ans. (a) Limbus,(Ref: Robbins 9th/pg 28) 33.
Weibel-palade bodies are present in,Ans. (a) Vascular endothelial cells,"(Ref: Weibel ER, (October 1964). J. Cell Biol. 23 (1): 101?12)   Weibel?Palade bodies are the storage granules of  endothelial cells. They store and release von Willebrand  factor and P-selectin. 34."
Which one of the following factors is labelled as cytokine in the pathogenesis of systemic inflammatory response syndrome,Ans. (d) Tumor Necrosis factor,(Ref: R 9th/pg 131-132)
Which of the following tumor,"Ans. (b, c, d, e) b. Pleuropulmonary blastoma; c. Cystic  nephroma; d. Thyroid carcinoma; e. Sertoli-Leydig cell  tumor 2.",No explanation provided.
Which of the following is/are chromosomal disorder,"Ans. (b, c) b. Turner syndrome; c. Klinefelter?s  syndrome",(Ref: Robbins 9th/pg 165) 3.
In Down syndrome which is/correct,"Ans. (a, b, c) a. Most common cause of death is  congenital heart disease; b. 95% have an extra 21st  chromosome; c. Increased nuchal fold thickness on USG 4.",No explanation provided.
Which chromosome is responsible for the production of MIF,Ans. (d) Y Chromosome 5.,No explanation provided.
Which of the following is/are true about Turners Syndrome,Ans.,(e) Mental retardation present 6.
Which of the following is/are not feature of Turner syndrome,Ans. (a) Tall stature,"(Ref: Robbins 9/e pg 166)   Left-sided cardiovascular abnormalities, particularly pre- ductal coarctation of the aorta and bicuspid aortic valve,  are seen. Hypertension may be a feature of coarctation of  aorta. 7."
Chromosome 21 is which type of chromosome,Ans. (c) Short acrocentric,(Ref: Emery Genetics) 8.
"Karyotype of a male patient shows the following, what is the clinical abnormality that is expected",Ans. (a) Turner syndrome,"(Ref: R 9th/pg 166; 8th/pg 165)   In the given karyotype, we can observe that there is only 1  X chromosomes and no Y chromosome. This  suggests  the  karyotype  of patient as 45 XO (Turners Syndrome) 9."
Velocardiofacial defect is due to mutation in,Ans. (c) Chr 22,(Ref:  Robbins  9th/pg 163; 8th/pg 162) 10.
Presentation of Pierre-Robin syndrome includes,"Ans. (a, d, e) Retrognathia d. Isolated cleft palate   e. Glossoptosis","(Ref:  Oxford Handbook of Genetics pg 171)   Pierre Robin sequence is due to defective DNA near the  SOX9 gene is a set of abnormalities affecting the head and  face, The three main features are cleft palate, retrognathia  and glossoptosis. 11."
"Karyotype of a patient shows the following, what is the clinical abnormality that is expected",Ans. (a) Gynecomastia with long thin limbs,"(Ref: Robbins 9th/pg 166; 8th/pg 165)   In the given karyotype, we can observe that there are two X  chromosomes and single Y chromosome. This suggests the  karyotype of patient as 47 XXY (Klinefelter Syndrome)    Male hypogonadism that occurs when there are Ú 2 X  chrand  Ú 1Y Chr. 12."
"A 16-year-old female presents with primary amenor- rhea and raised FSH. On examination, her height was 58 inches. What would be the histopathological finding in the ovary",Ans. (d) Maternal nondisjunction,(Ref: R 9th/pg 161)    Down?s syndrome is most commonly caused by Maternal  nondisjunctionQ > Translocation> Mosaicism 13.
If a chromosome divides in an axis perpendicular to usual axis of division it is going to form,Ans. (c) Turner syndrome,(Ref: Robbins 9tth/pg 166-167) 14.
Condition not associated with increased risk of Cancer are all except,Ans. (a) Turner syndrome,(Ref: Robbins 9th/pg 166-167) 125 Chapter 5 ? Genetic Disorders Answers with Explanations 15.
Most common microdeletion syndrome is,Ans. (b) Klinefelter syndrome results due to an extra Y  chromosome in males,"(Ref: Robbins 9th/pg 166; 8th/pg 165)   a.  False: Only one of the X chromosomes is genetically  active, the otherX of either maternal or paternal origin  undergoes heteropyknosisand is rendered inactive called  Barr body, so females have one activated chromosome   b.  True: Klinefelter syndrome is best defined as male  hypogonadism that occurs when there are two or more  X chromosomes and one or more Y chromosomes   c.  False: Germs cells have haploid set of 23 chromosomes   d.  False: Turners is due to missing X chr. 16."
Down?s syndrome increases risk of,Ans. (d) 5p-,(Ref: Robbins 9th/pg 163; 8th/pg 162) 17.
Which of the following is not associated with Down?s syndrome,Ans. (c) Androgen insensitivity syndrome 18.,No explanation provided.
The chromosomal karyotype in Patau syndrome is -,Ans. (d) Cri du chat syndrome,"(Ref: Robbins 9th/pg 163)   This is karyotype showing an arrow on deleted part of  short arm of chromosome 5, which is suggestive of    Cri du Chat syndrome: Chromosome 5p deletionQ   Features: Characteristic cry, developmental delay, behav- ioral problems. 19."
All the following are characteristic of Turner Syndrome EXCEPT-,Ans. (b) Isochromosome,(Ref: R 9th/pg 160; 8th/pg 160) 20.
All of the following statement,Ans. (a)  Absence of oocytes in the ovaries (streak  ovaries),"(Ref: Robbins 9th/pg 166-167; 8th/pg 165-166)   In this question, the patient is presenting with primary  amenorrhea and raised FSH, along with short stature  (Given Height = 58 inches, which is less than 5th percentile  of expected at 16 years age). All these features are suggestive  of Turner Syndrome.    InfertilityQ due to rudimentary uterus and streak ovaries  is an important featureQ, as ovaries are reduced to atrophic  fibrous strands without ova and follicles in Turner  syndrome 21."
CGG repeat sequence is found in,Ans. (b) Isochromosome,(Ref: R 9th/pg 160; 8th/pg 160) 22.
In Downs syndrome there is,Ans. (b) Turners syndrome,"(Ref: Robbins 9th/pg 166-167)  ? Down Syndrome has increased risk of Leukemia   ? Turner syndrome has very low risk of Wilms tumor  and colorectal Ca   So, it seems that the answer should be none, but to choose  1 of the answers, I would choose the least common one  which is Turner syndrome. 23."
"A female presents with karyotype 45, XO and absent gonads. What is your diagnosis",Ans. (b) Velo-cardio-facial syndrome,(Ref: R 9th/pg 163) 24.
Streak gonads are seen in -,"Ans. (a, b, c, e); a. Hirschprung?s disease;   b. Leukemia;  c. Sensorineural hearing loss;   e. Atlanto-occipital dislocation",(Ref: Robbins 9th/pg 161; 8th/pg 161) 25.
True statement regarding chromosomes,Ans. (d) Deletion of 21,(Ref: Robbins 9th/pg 161; 8th/pg 161) 26.
Cri du chat syndrome is,"Ans. (d)  47XX,+13",(Ref: Robbins 9th/pg 161; 8th/pg 161) 27.
Most common cause of primary amenorrhoea with sec- ondary sexual character development is,Ans. (c) Umbilical Hernia,"(Ref: Robbins 9th/pg 166-167)   Umbilical Hernia is usually not seen in Turner syndrome,  but is commonly seen in Down syndrome 28."
The following karyotype in female is seen in which of the following syndromes,"Ans. (b, c, e); b. Defect in type-1 collagen; c. Defect in  type-2 collagen; e. There is defect in lysyl hydroxylase  enzyme",(Ref: Robbins 9th/pg 144) 29.
The structural abnormality of chromosome in which one arm is lost and remaining arm is duplicated is called,Ans. (a) Fragile X syndrome (Refer to answer 64) 30.,No explanation provided.
Identify the inheritance pattern,"Ans. (c) X linked recessive   In the given pedigree, male are prominently affected so  it goes in favour of X linked disease. Now since there is  generation skip, so it will be recessive. So its, X-linked  recessive. 31.",No explanation provided.
Which of following dyads are correct,"Ans. (d, e) d. Alkaptonuria: Autosomal recessive;   e. Duchene muscle dystrophy: X-linked recessive 32.",No explanation provided.
