Questions,Answers
 Question 18.   What is the most likely cause of  the hemolysis?   A.  The infection    B.  The drug treatment    C.  Idiopathic   D.  Lung hemosiderosis ,"A, C "
  Question 19.   Which of the following infec- tions can be associated with cold antibody  hemolytic anemia?   A.  Varicella    B.  HIV    C.  Brucellosis   D.  Mycoplasma pneumonia ,"A, D "
" Question 20.   Which additional tests could be  done to deﬁ ne more precisely the nature of this  antibody?   A.  Deﬁ nition of the antigen to which the anti- body is directed (Donath-Landsteiner anti- body, Pr-antigen, I or i).     B.  Nucleotide sequence.    C.  No additional tests are helpful. ",C 
 Question 21.   Which possibly relevant ﬁ nd- ings in this patient have not been evaluated as  yet?   A.  Lung inﬁ ltrate    B.  Prolonged APTT    C.  Hearing loss   Q,"B, C "
"uestion 22.   An even small prolongation of  the APTT may be biologically relevant. What  could be the cause of this prolongation?   A.  A deﬁ ciency of a clotting factor of the endog- enous system (factor VIII, IX, XI, XII)     B.  Lupus  anticoagulant  (antiphospholipid  antibody)    ",B 
 Question 23.   What is the most likely cause  of hemolytic anemia in this patient?   A.  Disease related    B.  Drug induced    C.  Infection induced ,A 
 Question 24.   Which type of autoimmune  hemolytic anemia is most likely in a patient  with CLL?    A.  Warm antibody autoimmune hemolytic anemia    B.  Cold antibody autoimmune hemolytic anemia    C.  Donath-Landsteiner antibody ,A 
" Question 25.   Which is the best treatment for  this patient?   A.  Steroid monotherapy    B.  Steroids plus chlorambucil    C.  Rituximab monotherapy    D.  Rituximab, dexamethasone, cyclophosphamide    E.  High-dose immunoglobulin    F.  Splenectomy ",B 
 Question 26.   What are the best next diagnos- tic steps?   A.  Careful search for an internal or external  bleeding      B.  Determination of the reticulocyte count    C.  Determination of serum ferritin ,"A, B "
 Question 27.   Which are the next most useful  studies?   A.  Coombs test    B.  Bone marrow biopsy    C.  Bone marrow smear only ,"A, B "
 Question 28.   What is the most likely cause of  PRCA in this patient?   A.  Drug induced    B.  Lymphoproliferative disorder    C.  Thymoma   D.  Parvovirus infection    E.  Primary ,"A, B, C, D, E "
 Question 29.   What is the best initial treat- ment for this patient?   A.  Surgery    B.  High-dose immunoglobulin    C.  Cyclosporine ,A 
 Question 30.   Which is the most likely  diagnosis?   A.  Warm antibody hemolytic anemia    B.  Mixed warm and cold antibody hemolytic  anemia    C.  Cold antibody autoimmune hemolytic anemia  Primary Autoimmune Warm Antibody Hemolytic Anemias  146,C 
 Question 31.   What is the most likely cause of  this CAIHA?   A.  Infection    B.  B-cell lymphoma    C.  Monoclonal gammopathy of unknown origin  (MGUS)   D.  Solid tumor    E.  Idiopathic ,C 
 Question 32.   What is the best treatment for  this patient?   A.  Avoiding cold exposure    B.  Treatment with steroids    C.  Immune suppressive treatment with azathio- prine or cyclophosphamide    D.  Rituximab    E.  Splenectomy ,"A, D "
" Question 33.   How would you manage this  patient?   A.  Increase of steroid dose to 30 mg per day    B.  Change to another steroid    C.  Same dose of steroid and additionally  azathioprine    M.T. Krauth and K. Lechner  147  D.  Same dose of steroid and additionally treat- ment with rituximab, tapering of steroids if  rituximab is effective    E.  Combination of steroids with danazol    F.  Splenectomy ",D 
 Question 34.   What is now the best treatment?   A.  Repeat rituximab (six cycles) combined with  steroids      B.  Splenectomy ,"A, B "
 Question 35.   What are the most important  causes  of  late  serious  infections  after  splenectomy?   A.  Pneumococcus    B.  Meningococcus    C.  Haemophilus   D.  Capnocytophaga canimorsus    E.  Klebsiella ,"A, B, D "
 Question 36.   Which other complications  could occur after splenectomy?   A.  Splenic portal vein thrombosis    B.  Venous thromboembolism and pulmonary  embolism      C.  Pulmonary hypertension   D.  Infection with babesiosis    E.  Infection with  Bordetella holmesii ,"A, B, C, D, E "
 Question 37.   A paroxysmal cold hemoglobin- uria (PCH) is characterized by:   A.  Severe hemolytic anemia and hematuria    B.  Occurrence in children after a viral infection    C.  A tendency to recurrence   D.  An antibody directed to the P-antigen    E.  An antibody directed to the PR-antigen    F.  An IgG antibody ,"A, B, D, F "
 Question 38.   The treatment of postinfectious  PCH is:   A.  Warming the patient    B.  High-dose steroids    C.  Treat the underlying infection   D.  Blood transfusion ,A 
 Question 39.   PCH in adults:   A.  Is very rare    B.  Has been a typical complication of syphilis    C.  May also occur in NHL ,"A, B, C "
 Question 40.   What is the most likely cause of  this severe infection?   A.  Airway malacia    B.  An immunoglobulin deﬁ ciency    C.  Complement deﬁ ciency   D.  Congenital asplenia ,D 
 Question 41.   How can the diagnosis of asple- nia be established otherwise?   A.  Thrombocytosis    B.  Howell-Jolly bodies in the peripheral red  cells    C.  Bone marrow examination ,B 
 Question 42.   Which other abnormalities  could be present in this patient with congenital  asplenia?   A.  Abnormalities of the bone    B.  Abnormalities of the cardiac system    C.  Pulmonary abnormalities ,B 
 Question 43.   Which prophylactic measures  could have been taken to prevent septicemia?   A.  Vaccination    B.  Oral antibiotic treatment    C.  Spleen cell transplantation ,B 
"Differential Diagnosis, Laboratory  Diagnosis, Indications for  Splenectomy, and Post-  splenectomy Care   A 19-year-old woman presents with chronic,  mild anemia that was ﬁ rst detected incidentally.  She has had multiple complete blood counts.    Question 1.   An increased MCHC is a diag
nostic clue for which of the following causes of 
hemolytic anemia? 
    A.  
  Hereditary spherocytosis   
  
 B.    Hereditary xerocytosis   
  
 C.    Hemoglobin C disease   
   D.  
  All of the above ",D 
 Question 2.   Prominent spherocytosis is a fea- ture of which forms of hemolytic anemia?   A.  Hereditary spherocytosis    B.  Immune hemolytic anemia    C.  Clostridium perfringens sepsis   D.  All of the above ,D 
" Question 3.   Given the history, physical exam- ination, complete blood count, and peripheral  blood morphology, what is the next best test to  obtain?   A.  Osmotic fragility test    B.  Direct antiglobulin test (DAT)    C.  Serum haptoglobin level   D.  Urine hemosiderin assay    E.  Genetic testing for HS ",B 
" Question 4.   The OF test on this patient was  consistent with the presence of spherocytes  (Fig.   2 ), but what is the approximate sensitiv- ity of this ﬁ nding for the diagnosis of HS?   A.  <10 %    B.  33 %    C.  66 %   D.  99 % ",C 
 Question 5.   What are possible indications for  splenectomy in HS?   A.  Severe anemia    B.  Decreased exercise tolerance    C.  Cholelithiasis   D.  Poor growth    E.  All of the above ,E 
 Question 6.   Uniform prophylaxis for which of  the following post-splenectomy complications  is indicated?   A.  Thrombocytosis    B.  Pulmonary hypertension    C.  Venous thromboembolism   D.  Sepsis    E.  All of the above ,D 
"Recognition, Diagnosis,  and Management   A 13-year-old girl has had chronic hemolysis  since birth, characterized mainly by chronic  moderate scleral icterus and occasional fatigue.  Her spleen has never been enlarged. She has  never been transfused. Prior labs showed normal  RBC enzyme activity, Hgb electrophoresis, Hgb  stability, and α- and β-globin gene sequencing.  DAT was negative and OF was not increased. Her  CBC is shown in Table  2 and peripheral blood  smear in Fig.  5 .  Other pertinent laboratory test results included  a total serum bilirubin of 6.3 mg/dL, direct biliru- bin of 0.2 mg/dL, and a serum ferritin of 152 ng/ mL.   Question 7.   Which of the following labora- tory ﬁ ndings are consistent with a diagnosis of  hereditary xerocytosis (HX)?   A.  Macrocytosis    B.  Increased serum ferritin    C.  Increased MCHC   D.  Stomatocytes    E.  All of the above ",E 
 Question 8.   What tests can substantiate a  diagnosis of HX?   A.  Osmotic fragility testing    B.  Erythrocyte cation content    C.  Ektacytometry   D.  Genetic testing    E.  All of the above ,E 
" Question 9.   Which of the following proce- dures, if any, is contraindicated in HX?   A.  Cholecystectomy    B.  Splenectomy    C.  Both A and B   D.  Neither A nor B ",B 
"and Oxidant Hemolysis   A 19-year-old African-American male has a  3-day history of diarrhea, vomiting, and low-  grade fever. Yesterday, he had dark urine,  decreased urine output, and lassitude. Physical  examination today shows a pale, slightly icteric  man who appears tired. He has no hepato- splenomegaly or lymphadenopathy. His CBC  is shown in Table  4 and peripheral blood smear  in Fig.  8 .  Question 10.   The patient’s peripheral blood  smear is consistent with which of the  following?   A.  Unstable hemoglobin    B.  G6PD deﬁ ciency    C.  Dapsone toxicity   D.  A and B only    E.  All of the above ",E 
 Question 11.   Deﬁ cient G6PD enzymatic activ- ity can be detected during acute hemolysis.   A.  True    B.  False    C.  It depends on the particular G6PD mutation ,C 
 Question 12.   Which of the following medi- cines is safe to give in normal doses for indi- viduals  with  the  G6PD  A  -   [G6PD.p.V68M;N126D] variant?   A.  Acetaminophen    B.  Isoniazid    C.  Trimethoprim-sulfamethoxazole   D.  All of the above    E.  None of the above ,D 
"by an Unstable Hb   A 20-year-old African-American male has a  lifelong history of unexplained chronic hemo- lytic anemia. He receives PRBCs several times  a year because of exacerbations of anemia.  These exacerbations are often precipitated by  infections. An extensive work-up for the cause  of his anemia has been unrevealing. His CBC is  shown in Table  5 and peripheral smear in  Fig.  10 .   A number of studies have already been per- formed, including RBC enzyme activities, OF  testing, and Hb electrophoresis (Fig.  11 ), all of  which have been reported to be normal. Testing  for unstable Hbs by the isopropanol and heat  denaturation methods was also normal.  Question 13.   Which of the following possibili- ties is the single best explanation for the results  of the Hb electrophoresis for case 4 (Fig.  11  )?   A.  α-thalassemia  trait  (two-gene  deletion  α-thalassemia)      B.  Unstable Hb and co-inherited α-thalassemia      C.  Heterozygosity for gene deletion hereditary  persistence of fetal Hb (HPFH)    D.  β-thalassemia trait     E.  Normal ",B 
" Question 14.   The best strategy for genetic  testing to identify this patient’s hemoglobin- opathy would include which of the following  tests?   A.  α-globin gene ( HBA1 ,  HBA2 ) sequencing    B.  β-globin gene ( HBB ) sequencing    C.  α-globin gene cluster deletion/duplication  analysis     D.  β-globin gene cluster deletion/duplication  analysis      E.  All of the above ",E 
"An otherwise healthy 45-year-old woman, taking 
no medication, was evaluated by her internist 
prior to undergoing a dilation and curettage 
(D&C) for menorrhagia. A complete blood count 
(CBC) and screening coagulation tests (pro
thrombin time and partial thromboplastin time) 
were only remarkable for a platelet count of 
120,000/?l. A peripheral blood smear was unre
markable. No previous platelet counts were avail
able, but she has no family history of 
thrombocytopenia and no personal or family his
tory of abnormal hemostasis.   Question 1.   Which of the following state
ments best describes this patient�s hemato
logic problems? 
    A.  
  The patient has mild autoimmune thrombo
cytopenia (ITP) that is also responsible for 
her menorrhagia.   
B.    The patient has mild ITP, but the menorrhagia 
is unrelated.   
  
 C.    The signifi cance of the patient�s mild throm
bocytopenia is uncertain, and it is unlikely to 
be a contributing factor for her menorrhagia.   
D.    A platelet count of 120,000 is too high to be 
associated with a bleeding diathesis.  ",C 
"A 24-year-old woman is being seen because of severe menorrhagia accompanied by an iron- defi ciency anemia and a minimally increased platelet count. She has had extensive bruising all of her life and bled excessively after dental extractions. An older brother also has had exten sive bruising and frequent epistaxis, although these symptoms seem to be improving. A younger sister and her parents have no bleeding symptoms. Question 2. possibilities? A. What are the diagnostic A lifelong bleeding history and normal plate let count suggests this patient may have an inherited coagulopathy. B. An increased platelet count raises the possi bility of a myeloproliferative disorder such essential thrombocythemia. C. Since the patient�s bleeding disorder appears to be inherited autosomally, measurement of factor VIII is not indicated. D. Mucocutaneous bleeding is characteristic of a defect in primary hemostasis.",D 
 Question 3.   What would be your initial man- agement recommendations?   A.  Perform a bone marrow biopsy    B.  Begin treatment with high-dose corticoste- roids and IVIG  ,B 
" Question 4.   How should this patient’s throm- bocytopenia be managed?   A.  Recommend platelet transfusion to maintain  platelet count above 30,000/μl.    B.  Begin treatment with a thrombopoietin  agonist.      C.  Consider prophylactic platelet transfusion to  maintain a platelet count above 20,000/μl.   D.  Continue supportive care with platelet trans- fusion trigger of 10,000//μl. ",D 
 Question 5.   You are called to the ER to see the  patient. What is your next step?   A.  Recommend stat platelet transfusion.    B.  Recommend transfusing both red blood cells  and platelets.     C.  Urgent review of a peripheral blood smear.   D.  Recommend supportive care with IV ﬂ uids  and antibiotics.    ,C 
" Question 6.   The surgeons want to give a  platelet transfusion because he is thrombocy- topenic. What is your recommendation?   A.  Obtain an upper extremity ultrasound to eval- uate for a venous clot.     B.  Agree that platelet transfusion is indicated.    C.  Initiate anticoagulation with warfarin and test  for anti-heparin antibodies.    D.  Stop heparin, test for anti-heparin antibodies,  and begin alternative anticoagulation with  argatroban. ",D 
" Question 7.   His hepatologist is concerned  about the etiology of his thrombocytopenia.  What is your response?   A.  Recommend prophylactic platelet transfusion  with the goal of maintaining a platelet count  of 50,000/μl. ",B 
"A 65-year-old woman with a history of diabetes, hypertension, and hypercholesterolemia had a transient episode of dysarthria and right-sided facial weakness. An MRI of her brain was not remarkable and her EKG showed normal sinus rhythm, but she does have a left-sided carotid bruit. Her neurologic symptoms resolved within 20 min. Questions 8. You are asked to give recom mendations for prophylactic antithrombotic therapy. A. Begin anticoagulation with low molecular weight heparin to be followed by warfarin. B. Aspirin at 325 mg daily and refer for carotid endarterectomy. C. Refer for urgent carotid endarterectomy and hold antithrombotic therapy to minimize sur gical bleeding. D. Treat with aspirin 81 mg and clopidogrel 75 mg daily.",B 
"A 55-year-old man with hypertension was admit ted to the hospital because of severe anterior chest pain and an EKG consistent with an ST-elevation anterior myocardial infarction. He was taken to the cardiac catheterization labora tory where he underwent an uneventful PCI with stenting for an occlusive lesion of his left anterior coronary artery. Six hours after the procedure, he experienced bleeding from the arteriotomy site and his platelet count was found to be 7,000/?l. A blood smear confi rmed the low platelet count and did not reveal platelet clumping. Questions 9. What is the likely explanation for the patient�s thrombocytopenia? A. Rapid-onset heparin-induced thrombocyto penia (HIT) resulting from prior heparin exposure B. Pseudothrombocytopenia C. Drug-induced antibody-mediated thrombo cytopenia due to preformed antibodies against drug-exposed cryptic GPIIb/IIIa epitopes D. Disseminated intravascular coagulation (DIC)",C 
" Question 10.   What is the most likely  diagnosis?   A.  Unrecognized iron deﬁ ciency    B.   Outlier of the normal distribution of platelet  counts    C.  Cryptic malignant neoplasm   D.  A myeloproliferative disorder, most likely  essential thrombocythemia ",D 
"of Thrombocytopenia  in the Intensive Care Unit   Question 1.   A 67-year-old man is admitted to  the ICU with urosepsis. He has no signiﬁ cant  past medical history and has never been  admitted to the hospital in the past. He is  found to have a platelet count of 32 × 10  9  /l on  admission with a PT/PTT of 12 and 27 s. His  hematocrit, MCV, and white blood cell count  are all normal. How do you interpret throm- bocytopenia in this patient?   A.  The patient has a high risk of bleeding.    B.  The patient likely has an underlying platelet  disorder.    C.  The patient has an increased likelihood of  morbidity and mortality.   D.  This will require a bone marrow biopsy.   C.  Neunert ,  MD, MSCS  ",C 
" Question 2.   On day 3 the patient now has a  platelet count of 12 × 10  9  /l with a PT/PTT of 20  and 47 s. On physical examination, he is febrile  and has no evidence of thrombosis. The ICU is  concerned the patient may have developed  HIT given that he is receiving heparin. What  testing should be done to rule out HIT in this  patient?   A.  Serotonin release assay    B.  No testing    C.  ELISA testing for Heparin-PF4 antibodies   D.  Ultrasound of the lower extremities ",B 
" Question 3.   On hospital day 6, the patient  continues to be febrile with a platelet count of  30 × 10  9  /l and ongoing prolongation of his PT/ PTT. He has no evidence of oozing from his  intravenous sites or other symptoms of bleed- ing. How should the patient’s thrombocytope- nia be managed at this time?   A.  Transfuse because the platelet count is  <75 × 10 9 /l.    B.  Transfuse if the platelet count declines to  <30 × 10 9 /l.    C.  Transfuse platelets because the prolongation  of the PT/PTT increase the bleeding risk.    D.  There is insufﬁ cient evidence to determine  transfusion requirements.    ",D 
"Alloimmune Thrombocytopenia  (NAIT)   Question 4.   A 1-day-old Caucasian male  infant has petechiae on his face and trunk. The  pregnancy and birth were uncomplicated. The  infant is well appearing and physical examina- tion is otherwise normal. The infant’s  complete  blood count reveals isolated  thrombocytopenia  Acquired Platelet Disorders: Diagnosis and Management  202 with a platelet count of 12,000 × 10  9  /l. Platelet  morphology is normal with the exception of a  few large platelets. There is no maternal his- tory of ITP or lupus and the maternal platelet  count is 195 × 10  9  /l. The infant has a head  ultrasound that shows no evidence of intracra- nial hemorrhage. How do you manage this  infant’s thrombocytopenia?   A.  Corticosteroids    B.  Intravenous immunoglobulin    C.  Random donor platelets and intravenous  immunoglobulin   D.  No therapy ",C 
" Question 5.   It is now 2 years later and you  receive a call from the mother’s obstetrician  that she is pregnant with her second child. Her  pregnancy is going well and she is currently in  the ﬁ rst trimester. She is looking for guidance  on the likelihood ITP will occur in this preg- nancy and what, if any, care will be required.  What recommendations do you make for her  maternal care?   A.  Maternal intravenous immunoglobulin    B.  Regular prenatal care    C.  Maternal corticosteroids   D.  Intra uterine platelet transfusions ",A 
"Disease   Question 6.   A 67-year-old man has just been  diagnosed with hepatitis C virus (HCV) infec- tion. At his ﬁ rst visit with the gastroenterolo- gist to establish care and begin treatment, he is  slightly jaundiced with a palpable spleen  approximately 4 cm below the left costal mar- gin. His complete blood count reveals throm- bocytopenia with a platelet count of 64 × 10  9  /l.  The gastroenterologist has referred him to you  for evaluation of thrombocytopenia. What  additional evaluation should be conducted at  this time?   A.  A bone marrow biopsy    B.  Evaluation for esophageal varices    C.  Antiplatelet antibody testing   D.  Thrombopoietin levels ",B 
" Question 7.   Because of the concern for cir- rhosis, the gastroenterologist would like to  perform a liver biopsy and is asking for rec- ommendations regarding the surgical man- agement of this patient. What recommendations  do you give regarding surgery?   A.  The patient does not need any treatment.    B.  The patient should receive a platelet transfu- sion to obtain a platelet count ≥75 × 10 9 /l.    C.  The patient should be started on eltrombopag  prior to surgery.   D.   The patient should receive a platelet transfu- sion to obtain a platelet count ≥100 × 10 9 /l. ",A 
 Question 8.   The patient returns a week later  to begin therapy with interferon (IFN) ther- apy. He continues to be jaundice and has ongo- ing splenomegaly. His complete blood count  now shows a platelet count of 46 × 10  9  /l. What  treatment recommendations do you make at  this time to assist with the treatment of his  HCV?   A.  Begin PEG-INF.    B.  Begin therapy with a thrombopoietin receptor  agonist.      C.  Complete splenic embolization.   D.  Partial splenic embolization. ,D 
"Presenting with Acute, Severe  Thrombocytopenia   A previously healthy 57-year-old man was admit- ted to the hospital following a 1-week history of  worsening purpura and discovery of a platelet  count of 5000/μl. He denies fever, chills, night  sweats, or other constitutional symptoms but has  noted increased fatigue for the last 2–3 weeks.  His past medical history is notable for mild hypo- thyroidism and hypertension, treated with  Synthroid and lisinopril, respectively. The physi- cal examination is remarkable for purpura over  the pretibial area and petechiae on the hands and  feet. There is no splenomegaly or lymphadenopa- thy. The complete blood count (CBC) reveals a  platelet count of 5000/μl with a hemoglobin of  12.9 g/dl and WBC of 6.3 with a normal differen- tial. Chemistries, including liver function tests  and LDH, are normal.   Question 1.   Which of the following is the most  likely cause of thrombocytopenia in this  patient?   A.  ITP    B.  Drug-induced thrombocytopenia (DIT)    C.  Myelodysplastic syndrome (MDS)   D.  Pseudothrombocytopenia    E.  Inherited thrombocytopenia ",A 
 Question 2.   The patient wants to know why  he has developed ITP and the best method of  treatment. What additional testing would be  recommended that would be helpful in  addressing these questions?   A.  Hepatitis C and HIV serologies    B.  Antiplatelet antibodies    C.  Antiphospholipid antibodies   D.  Helicobacter pylori serology    E.  Bone marrow examination ,A 
 Question 3.   What is the optimal initial treat- ment regimen for this patient?   A.  Oral corticosteroids    B.  Rituximab    C.  Platelet transfusion   D.  Parenteral corticosteroids and IVIg    E.  Eltrombopag ,D 
"with Steroid-Dependent ITP   A 19-year-old woman with ITP was referred for  splenectomy. She was ﬁ rst noted to have purpura  and a platelet count of 12,000/μl 14 months ear- lier. She responded well to corticosteroids, but  relapsed soon after tapering. Over the last  8 months, she has required several additional  courses of steroids at progressively shorter inter- vals. She is a college student, wants to have her  ITP “taken care of,” and was referred for splenec- tomy. Her parents arranged for a second opinion  prior to surgery.   Question 4.   Which of the options below offers  the best potential for long-term remission of  ITP?   A.  Romiplostim or eltrombopag    B.  Rituximab    C.  Pulse corticosteroids   D.  Splenectomy    E.  IVIg ",D 
"Refractory to Steroids and IVIg   A 65-year-old man was diagnosed with ITP  16 months ago on the basis of isolated thrombo- cytopenia (platelet count of 50,000/μl), a normal  physical examination, and a normal peripheral  blood ﬁ lm except for decreased platelets. He did  well without treatment for the following year but  3 months ago noted epistaxis and was found to  have a platelet count of 20,000/μl. He was placed  on prednisone 60 mg/day but did not respond  after 1 month of continued therapy. He had sev- eral courses of IVIg over the subsequent 2 months,  but the platelet count never increased to more than  30,000/μl. He requests another opinion.   Question 5.   Which of the following should be  recommended at this time?   A.  Splenectomy    B.  Pulse decadron with IVIg    C.  A thrombopoietin receptor agonist   D.  Abdominal CT scan    E.  Bone marrow examination ",E 
"Woman with ITP   A 32-year-old pregnant woman with a 5-year his- tory of ITP is 10 weeks pregnant and referred for  management. Her ITP was initially noted on a  routine CBC with a platelet count of 60,000/μl.  Over the last 5 years, her platelet count has  ranged from 18,000 to 70,000/μl, and she has  been treated with episodic courses of steroids  when her platelet count falls below 30,000/μl.  Her platelet count is presently 40,000/μl and she  is on no treatment.   Question 6.   What is the best course of action  for management of her ITP at the present  time?   A.  Initiate prednisone at a dose of 20 mg/day    B.  Order IVIg infusions for platelet counts  below 50,000/μl    C.  Refer her for splenectomy, in order to avoid  adverse medication effects during pregnancy   D.  Watchful waiting    E.  Advise her obstetrician that she will need  cesarean section    ",D 
"in a Patient with CLL   A 74-year-old man with Stage I chronic lympho- cytic leukemia (CLL) is referred for the new  onset of severe thrombocytopenia with a platelet  count of 14,000/μl accompanied by gingival  bleeding and epistaxis. His other counts are sta- ble, with a WBC of 17,500 and 65 % lympho- cytes and a hemoglobin of 12.1 g/dl. The patient  denies any new constitutional symptoms. He has  petechiae on the hands, feet, and soft palate. To  date, he has not received any therapy for his CLL.   Question 7.   Your recommendations for man- agement of ITP in this patient include which  of the following?   A.  Refer for splenectomy    B.  Initiate prednisone, 60 mg/day    C.  Initiate a thrombopoietin receptor agonist   D.  Initiate a course of cyclophosphamide, vin- cristine, and prednisone     E.  Initiate a course of ﬂ udarabine, cyclophos- phamide, and rituximab  ",B 
"An otherwise healthy 45 years old man is sched
uled for a hernia repair. He has no signifi cant past 
medical history except for a previous appendec
tomy without excess bleeding, and his family his
tory is negative for bleeding problems. He takes 
no medications. His physical exam is unremark
able except for a right inguinal hernia, and his 
relevant lab results are platelet count of 250,000/
 ?l; PT 10 s (normal 9�11 s); and aPTT 45 s (nor
mal 25�35 s).  Question 1.   What is the ﬁ rst test you would  do to work up his prolonged aPTT ?  A.  Factor VIII level    B.  Factor IX level    C.  Mixing study   D.  Vitamin K level ",C 
 Question 2.   What is the most likely cause of  the patient ’ s abnormal coagulation testing ?  A.  Congenital factor deﬁ ciency    B.  Vitamin K deﬁ ciency    C.  Liver failure   D.  Congenital platelet function defect ,A 
 Question 3.   What is the most likely cause of  the patient ’ s abnormal coagulation testing ?  A.  Congenital factor deﬁ ciency    B.  Acquired vitamin K deﬁ ciency    C.  Liver failure   D.  Congenital platelet function defect ,B 
 Question 4.   How could you use further test- ing to be more certain of the diagnosis ?  A.  Administer vitamin K for several days and  repeat the testing.     B.  Perform a mixing study to rule out the pres- ence of an inhibiting factor.    C.  Check speciﬁ c factor levels to ascertain  which factors are low.   D.  Check thrombin time. ,All of the above 
 A 4-year-old male with acute respiratory distress  syndrome (ARDS) and sepsis is on extracorpo- real membrane oxygenation (ECMO) maintained  on heparin anticoagulation at 20 units/kg/h.  Coagulation testing reveals a normal aPTT and  platelet count with a markedly prolonged acti- vated clotting time (ACT). His bedside nurse  notes his temperature is 34.8 °C. You are asked  by the ECMO team to help explain his coagula- tion test ﬁ ndings.   Question 5.   What is/are the most likely  cause(s) of his discordant aPTT and ACT?   A.  Abnormal platelet function    B.  Hypothermia    C.  Both A and B   D.  Dilutional coagulopathy ,C 
 Question 6.   The most likely cause of the cur- rent laboratory ﬁ ndings is :  A.  Improper priming of the circuit.    B.  Need for a higher heparin dose.    C.  Findings are speciﬁ c to neonatal develop- mental hemostasis.    D.  Heparin resistance. ,D 
" Question 7.   Which coagulation test can pro- vide a dynamic picture of the interaction  between whole-blood cellular components,  coagulation proteins and platelets, and their  inhibitors from onset of coagulation through  ﬁ brinolysis?   A.  Light transmission aggregometry    B.  Thromboelastography/ROTEM    C.  Thrombin generation assay   D.  Euglobulin clot lysis time ",B 
" Question 8.   Assessment of global coagulation   A 68-year-old female is postoperative day 1  following aortic root repair. She was anticoagu- lated intraoperatively with heparin followed by  reversal with protamine immediately postopera- tively and empirically transfused with plasma  and platelets. She is hemodynamically stable but  continues to lose ~200 cc/h of blood from her  drains. Laboratory analysis reveals a normal  blood gas, platelet count of 150,000/L, an inter- national normalized ratio of 1.1, and partial  thromboplastin time of 37 s and ROTEM  FIBTEM analysis demonstrates a markedly  reduced maximal clot ﬁ rmness and her ﬁ brino- gen is 1.0 g/L.   What product will best treat her underly- ing hemostatic abnormality ?  A.  Platelet transfusion    B.  Fibrinogen replacement therapy (e.g., cryo- precipitate or ﬁ brinogen concentrate)    C.  Fresh frozen plasma transfusion   D.  Red blood cell transfusion ",B 
" Question 9.   Evaluation of congenital coagula- tion factor deﬁ ciencies ,  such as hemophilia .   A 3-year-old male with severe hemophilia A  with a recently diagnosed high titer inhibitor is  admitted for management of an ongoing retro- pharyngeal bleed. He continues to experience  bleeding with resultant respiratory compromise  despite every 2 h delivery of 90 μg/kg of recom- binant factor VIIa (rFVIIa). Has thromboelas- tometry analysis been demonstrated to predict  clinical response to bypass agents in congenital  hemophilia?  A.  Yes    B.  No ",A. Yes 
"Bleeding   Seventeen-year-old female presented with a  3-day history of spontaneous bruising of the left  thigh. Three weeks earlier, after completing a  25 km bicycle ride, she had diffuse myalgias,  fever, and mild but transient pharyngitis. There  was no relief after 5 days of amoxicillin. Past  history revealed a bilateral malar rash for  6 months treated with topical steroids by her  general practitioner. There was no history of  spontaneous bruising or bleeding, nor family  history of a bleeding diathesis. Her parents  are not related. Laboratory ﬁ ndings include   hemoglobin of 11.5 g/dl; WBC, 7,200 × 10 6 /l  with normal differential; platelets 190 × 10 9 /l;  prothrombin time, 20 s (control 13 s); PTT, 41 s  (control 30 s); mixing test, both PT and PTT cor- rected by mixing with 1:1 volume/volume (v/v)  normal plasma; D-dimer >5,000; TT, 26 s (con- trol: 10 s); clotting factor assays Factors II 55 %,  V 60 %, VII 124 %, VIII 17 %, IX 80 %, X 72 %,  XI 52 %, and XII 36 %; and VWF:Ag, VWF:CB,  and VWF:RCo all >150 %. There was no   evidence  of  anti-VWF  antibody.  Lupus   H. C.  Kwaan ,  MD, FRCP (*) •  B. J.  McMahon ,  MD  Question 1.   Which of the following is likely  the cause of her bleeding?   A.  Abnormal platelet function    B.  Acquired F VIII inhibitor    C.  Acquired F VII inhibitor    D.  Disseminated intravascular coagulation (DIC)  or abnormal ﬁ brinolysis.  ",D 
 Question 2.   Which of these are  not  likely to  produce meaningful results to differentiate  between DIC and abnormal ﬁ brinolysis?   A.  Mixing tests    B.  D-dimer    C.  Euglobulin lysis time   D.  Thromboelastography ,B 
" Question 3.   Results showed a euglobulin lysis  time of 6 min (normal: >1 h) and TEG  (decreased maximum amplitude; 100 % clot  lysis at 30 min), both indicating increased  ﬁ brinolysis. As she had recent bilateral malar  ﬂ ush, tests for systemic lupus erythematosus  (SLE) were obtained and results were positive.  What are the possible causes of her excessive  ﬁ brinolysis ?  A.  Strenuous exercise (patient had participated  in competitive bicycle race)    B.  Cellulitis in her lower extremities    C.  Complication of SLE   D.  Hereditary deﬁ ciency of one of the ﬁ brino- lytic inhibitors    ",C or D 
